DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.40279968592360954
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,86.03666666666668
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,1,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,1,VALID,LOSS,0.366992008176354
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,1,VALID,ACC1,87.0
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.3279456493730718
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,89.32833333333333
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,2,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.3746776592748302
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,2,VALID,ACC1,86.77631578947368
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.30152348299117143
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,90.12
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,3,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.3624622949961039
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,3,VALID,ACC1,87.38157894736842
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.286341148535439
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,90.73916666666668
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,4,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.3381176897355717
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,4,VALID,ACC1,88.1578947368421
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.2753428455589343
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,91.1525
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,5,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,5,VALID,LOSS,0.35386003686154494
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,5,VALID,ACC1,87.77631578947368
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.2643517721233091
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,91.53999999999999
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,6,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,6,VALID,LOSS,0.34648676755034236
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,6,VALID,ACC1,87.6578947368421
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.25459724733687966
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,ACC1,91.815
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,7,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,7,VALID,LOSS,0.35605475766832495
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,7,VALID,ACC1,87.30263157894737
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.24609462475392815
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,ACC1,92.1425
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,8,HYPER,LR,0.0005
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,8,VALID,LOSS,0.3294689280729696
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,8,VALID,ACC1,88.90789473684211
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.23826406751449675
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,ACC1,92.39166666666667
agnews,rcnn,adam_l0.0005_e20_w0.0001_af_bf0.9_bs0.99,1,9,HYPER,LR,0.0005
