DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.322994584350586
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,51.756
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,1,HYPER,LR,0.001
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,1,VALID,LOSS,1.045166398715973
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,1,VALID,ACC1,62.559999999999995
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.8863027660751343
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,68.54599999999999
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,2,HYPER,LR,0.001
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,2,VALID,LOSS,0.8787919990539551
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,2,VALID,ACC1,69.82
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.7158618674087525
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,74.924
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,3,HYPER,LR,0.001
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.7324970839500428
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,3,VALID,ACC1,75.81
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.607853618850708
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,79.036
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,4,HYPER,LR,0.001
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.6621184754371643
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,4,VALID,ACC1,77.60000000000001
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.5327097539138794
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,81.608
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,5,HYPER,LR,0.001
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,5,VALID,LOSS,0.5462261697769165
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,1,5,VALID,ACC1,81.69
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,2,1,TRAIN,LOSS,1.3258218907546997
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,2,1,TRAIN,ACC1,51.51
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,2,1,HYPER,LR,0.001
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,2,1,VALID,LOSS,1.0909681867599488
cifar10,densenetbc100,adam_l0.001_e5_w0.0001_at_bf0.9_bs0.99,2,1,VALID,ACC1,60.589999999999996
