DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,1,TRAIN,LOSS,1.5905778977203369
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,1,TRAIN,ACC1,40.796
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,1,HYPER,LR,0.001
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,1,VALID,LOSS,1.4902763917922974
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,1,VALID,ACC1,45.96
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,2,TRAIN,LOSS,1.0733398923492432
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,2,TRAIN,ACC1,61.8
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,2,HYPER,LR,0.001
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,2,VALID,LOSS,1.1105405809402467
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,2,VALID,ACC1,60.980000000000004
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,3,TRAIN,LOSS,0.9352106858253479
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,3,TRAIN,ACC1,66.89399999999999
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,3,HYPER,LR,0.001
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,3,VALID,LOSS,0.994279725074768
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,3,VALID,ACC1,65.75
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,4,TRAIN,LOSS,0.8657657501983642
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,4,TRAIN,ACC1,69.39999999999999
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,4,HYPER,LR,0.001
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,4,VALID,LOSS,0.9316734280586243
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,4,VALID,ACC1,67.38
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,5,TRAIN,LOSS,0.8198393603897095
cifar10,densenetbc100,rmsprop_l0.001_e5_w0.0001_m0.9_ct_a0.99,1,5,TRAIN,ACC1,70.87
