DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,1.3792717603302003
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,49.566
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,1,HYPER,LR,0.10004472213630765
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,1.1186356928825378
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,60.230000000000004
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,0.8714227120971679
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,69.15
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,2,HYPER,LR,0.09251418199787566
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,1.0537270154953002
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,64.92
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,0.6736381715393066
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,76.41
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,3,HYPER,LR,0.007685818002124339
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,0.7932200171470642
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,74.68
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,0.4869133761405945
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,83.208
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,4,HYPER,LR,0.00015527786369235992
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,4,VALID,LOSS,0.47749248332977295
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,4,VALID,ACC1,83.39
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,5,TRAIN,LOSS,0.4462593814659119
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,5,TRAIN,ACC1,84.762
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,5,HYPER,LR,0.00010037266392841865
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,5,VALID,LOSS,0.47449539651870726
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,1,5,VALID,ACC1,83.45
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,1,TRAIN,LOSS,1.383072128868103
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,1,TRAIN,ACC1,49.328
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,1,HYPER,LR,0.10004472213630765
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,1,VALID,LOSS,1.2242227880477905
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,1,VALID,ACC1,59.699999999999996
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,2,TRAIN,LOSS,0.8478898525238037
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,2,TRAIN,ACC1,69.87400000000001
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,2,HYPER,LR,0.09251418199787566
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,2,VALID,LOSS,1.050754298210144
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,2,VALID,ACC1,66.96
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,3,TRAIN,LOSS,0.6560659218025208
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,3,TRAIN,ACC1,77.252
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,3,HYPER,LR,0.007685818002124339
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,3,VALID,LOSS,0.7604599740982055
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,3,VALID,ACC1,75.53999999999999
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,4,TRAIN,LOSS,0.4791107382965088
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,4,TRAIN,ACC1,83.688
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,4,HYPER,LR,0.00015527786369235992
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,4,VALID,LOSS,0.4730658324718475
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,4,VALID,ACC1,84.17
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,5,TRAIN,LOSS,0.4357201498413086
cifar10,densenetbc100,taso_l0.1_e5_w0.0001_m0.9_nt_a25_b0.7,2,5,TRAIN,ACC1,85.09400000000001
