DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,1,TRAIN,LOSS,2.0407790618896486
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,1,TRAIN,ACC1,24.360000000000003
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,1,HYPER,LR,0.10009928614946517
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,1,VALID,LOSS,2.887897304534912
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,1,VALID,ACC1,21.737499999999997
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,2,TRAIN,LOSS,1.7414420511245727
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,2,TRAIN,ACC1,32.08
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,2,HYPER,LR,0.10009917062496261
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,2,VALID,LOSS,2.2372404775619508
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,2,VALID,ACC1,25.2625
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,3,TRAIN,LOSS,1.6120919704437255
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,3,TRAIN,ACC1,38.160000000000004
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,3,HYPER,LR,0.10009903640497485
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,3,VALID,LOSS,1.674407392501831
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,3,VALID,ACC1,34.3625
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,4,TRAIN,LOSS,1.5345089710235595
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,4,TRAIN,ACC1,41.67999999999999
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,4,HYPER,LR,0.1000988804640495
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,4,VALID,LOSS,1.5720575733184814
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,4,VALID,ACC1,41.800000000000004
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,5,TRAIN,LOSS,1.4452318307876586
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,5,TRAIN,ACC1,45.879999999999995
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,5,HYPER,LR,0.10009869928715334
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,5,VALID,LOSS,1.4973998937606812
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,5,VALID,ACC1,45.4125
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,6,TRAIN,LOSS,1.3824443511962892
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,6,TRAIN,ACC1,48.1
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,6,HYPER,LR,0.1000984887904559
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,6,VALID,LOSS,1.502575261116028
stl10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a15_b0.8,1,6,VALID,ACC1,44.675
