DATA,MODEL,OPTIM,EXECUTION,EPOCH,TRAIN LOSS,TRAIN ACC1,VALID LOSS,VALID ACC1
yahooa,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,0.8811628460414547,70.43021428571429,0.7768304851769993,70.72
cifar10,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,93,0.024094435989521445,99.16,0.4045327878594399,92.87
agnews,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,20,0.1750457811190651,94.5775,0.3023240038042455,92.05263157894736
agnews,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,2,20,0.18047145098303727,94.43583333333332,0.2880205726336224,91.92105263157896
agnews,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,3,20,0.18519099192877272,94.2525,0.2739470337975742,91.92105263157896
agnews,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,4,19,0.21596507520291747,93.4725,0.27985414145533405,91.86842105263158
agnews,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,5,19,0.21258096901159246,93.575,0.2882251926448211,91.4605263157895
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,99,0.0025701661529857664,99.95200000000001,0.20674857495948676,95.32
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,2,99,0.0022051315033389256,99.956,0.21293185760825872,95.35
cifar10,resnet50,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,3,100,0.0025076464543957264,99.96799999999999,0.2050659935444593,95.47
yelprf,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,17,0.6789399067451836,69.05369230769232,0.7677633870163222,65.88600000000001
cifar100,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,79,0.0136489529389143,99.64399999999999,1.9228844926595687,72.66
cifar10,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,91,0.03929182505583391,98.61200000000001,0.4791775280475616,90.4
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,0.08132278325228358,97.19166666666666,0.4056872235210193,89.76315789473685
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,2,16,0.07164580195009662,97.59166666666668,0.3944962438218427,90.56578947368419
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,3,18,0.062112870263047765,97.78666666666666,0.4744494657051366,89.57894736842104
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,4,4,0.18597764646630385,93.66166666666666,0.2906628477269366,90.19736842105264
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,5,15,0.07367057757084887,97.43583333333332,0.4557153289133346,90.14473684210527
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,20,0.7310894013878615,67.29338461538461,0.7505065254715825,65.876
cifar10,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,100,0.0013165477048885073,99.986,0.21688087209786755,95.01
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,14,0.2726652013477926,92.01166666666668,0.2730377214877077,91.11842105263158
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,2,15,0.2498143191287052,92.78,0.27096244021684474,91.4078947368421
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,3,20,0.2374531491051117,93.26,0.3055451434741324,91.02631578947368
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,4,20,0.24116403120417856,93.20916666666666,0.30349522640887466,90.86842105263158
agnews,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,5,15,0.2793714217531196,91.74666666666668,0.2835597402496764,90.65789473684212
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,0.8507180232436715,62.81876923076923,0.8379027528139062,63.01
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,2,16,0.8086731426902056,65.12307692307692,0.8674622831479378,63.57999999999999
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,3,5,0.8288142605667822,63.8083076923077,0.8372240038367219,63.354
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,4,6,0.8260815797940753,63.87153846153846,0.8346732394263241,62.808
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,99,0.013043128758813256,99.564,0.409794790327549,92.56
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,20,1.089587388662745,52.56415384615385,1.0650802316360009,54.93
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,2,15,0.8359773917065094,63.646461538461544,0.8181968714503222,63.39
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,3,17,0.8229607719528048,64.12123076923079,0.8130171156110371,63.158
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,4,19,0.7987751470743167,65.164,0.8004262526709599,63.38200000000001
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,5,20,0.8631880210761008,62.257538461538466,0.8317223109218584,62.472
agnews,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,20,0.1931827349122388,93.79333333333332,0.2617330003985249,91.9605263157895
agnews,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,2,19,0.18925228368857727,93.96,0.2760341187166104,91.64473684210527
agnews,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,3,20,0.2126940445576564,93.24,0.2654573151932961,91.65789473684212
agnews,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,4,20,0.2020173911951431,93.66,0.26063457311095795,91.85526315789473
agnews,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,5,19,0.18803792953055312,93.95333333333332,0.26120674955614825,91.75
yelprf,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,0.7081234513925784,68.09661538461539,0.7736045751089695,64.64
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,20,0.6621374475757948,69.82861538461539,0.7596165628645395,66.046
cifar10,resnet50,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,96,0.008859976550408174,99.72399999999999,0.4164094535589217,92.95
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,17,0.7010496332935311,73.91335714285714,0.6987641586900901,73.12166666666667
agnews,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,20,0.12871353289799342,95.6075,0.2530960032980569,92.31578947368419
agnews,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,2,20,0.1440254089297553,95.11,0.2420772882037907,92.07894736842104
agnews,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,3,20,0.13157593769685638,95.54166666666669,0.25039973167047463,92.02631578947368
agnews,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,4,19,0.12844111901489627,95.6775,0.2516234695193311,92.42105263157896
agnews,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,5,20,0.13617820119671262,95.48416666666668,0.2435950921831373,92.25
cifar10,densenetbc100,adagrad_l0.5_e100_w0_d0_a0.1,1,93,0.021431619728095833,99.24799999999999,0.4134613989531994,91.97
yahooa,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,20,0.7185285628202979,73.38578571428572,0.6751883040639325,73.205
agnews,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,19,0.10230001736945628,96.49083333333334,0.3040203585333025,91.98684210526315
agnews,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,2,20,0.097891881059591,96.6475,0.2924141870974266,92.06578947368419
agnews,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,3,19,0.09913754672646373,96.5625,0.2936499513922138,92.42105263157896
agnews,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,4,20,0.09935571666999424,96.58166666666666,0.2868551543053353,92.18421052631581
agnews,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,5,19,0.09868969666199333,96.58083333333336,0.3109109610099566,92.0
cifar10,densenetbc100,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,96,0.00533076964598149,99.934,0.2063257355801761,94.94
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,93,0.04627030583322048,98.56,2.292443046951294,70.61999999999998
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,92,0.0036598900920711453,99.936,0.23382532181590795,94.53
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,0.6910590215759798,73.91864285714286,0.6945016330021566,72.78166666666667
yahooa,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,15,0.6925015441500674,74.16071428571429,0.7035866203566653,72.58166666666666
yelprf,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,19,0.7970980289161071,64.71753846153845,0.8202166058661751,63.93
yahooa,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,19,0.7640708475805211,72.93778571428571,0.7458572317717843,71.85833333333333
cifar100,densenetbc100,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,99,0.20169628445863724,93.274,2.181698681640625,64.3
cifar100,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,97,0.023208406736850738,99.738,1.2058609066009522,75.03
yelprf,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,20,0.7232918789281907,67.61984615384615,0.7772163491738056,65.008
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,19,0.7560463531999064,73.22871428571429,0.7090257914705833,73.33833333333331
cifar100,densenetbc100,htd_l0.1_e100_w0.0001_m0.9_nt_l-6_u3,1,96,0.03332541328787804,99.61399999999999,1.092656719112396,76.52
yelprf,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,20,0.804478533999882,64.89738461538461,0.7835448525310793,64.90400000000001
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,90,0.03180631305746734,98.95200000000001,0.5455924252867699,89.4
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,0.17831115181069407,94.92416666666666,0.2721679975183213,91.31578947368419
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,2,17,0.13406089621043302,96.6875,0.3273274411928646,91.25
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,3,12,0.16129444253659558,95.49666666666668,0.3231285799841917,90.31578947368422
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,4,6,0.223534044668481,93.17,0.2575609595628609,91.2894736842105
agnews,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,5,12,0.1584942676152353,95.72,0.30109789667968895,90.94736842105264
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,18,0.11434191634650664,96.225,0.32956807275242783,89.90789473684212
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,2,17,0.1126032161215333,96.34,0.293061920707585,90.92105263157896
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,3,17,0.1126924759525073,96.34916666666666,0.3238560015878354,90.05263157894737
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,4,18,0.11139894675492293,96.41083333333331,0.33243508360673285,90.51315789473685
agnews,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,5,15,0.1250042497860416,95.77,0.3119261255151461,90.5
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,18,0.14014316647238453,95.82333333333334,0.2850082641065659,91.59210526315788
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,2,18,0.14073161068949214,95.77333333333333,0.31767703291359817,91.35526315789473
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,3,14,0.16156797962783695,94.8975,0.2859740690358551,90.63157894736842
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,4,20,0.13879062692824748,95.7825,0.3165719783600649,91.36842105263158
agnews,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,5,15,0.16132326887782727,94.965,0.301078446736331,90.9605263157895
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,20,0.6744636389758517,74.84678571428572,0.6833470551663751,73.31333333333335
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,83,0.00522606962263584,99.958,1.1018279081344604,77.11
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,20,0.7541301820340119,73.17307142857143,0.7250931256448929,73.14
yelprf,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,11,0.6867793025531949,68.91723076923077,0.7822798165693677,64.878
cifar100,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,93,0.20829118752002715,93.28,2.0422903541564943,64.27000000000001
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,20,0.7953493731102306,72.12321428571428,0.692134729532935,73.36333333333333
agnews,s2satt,adagrad_l0.5_e20_w0_d0_a0.1,1,17,0.08147142934158746,97.09916666666668,0.3724485816661394,90.5
