DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,TRAIN,LOSS,0.31891030762691863
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,TRAIN,ACC1,89.14583333333333
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,VALID,LOSS,0.46271784747051864
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,VALID,ACC1,79.82894736842105
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,TRAIN,LOSS,0.245388319282994
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,TRAIN,ACC1,91.59333333333333
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,VALID,LOSS,0.37073560931701616
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,VALID,ACC1,84.52631578947368
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,TRAIN,LOSS,0.2082019277386065
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,TRAIN,ACC1,92.86666666666666
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,VALID,LOSS,0.3483880120805056
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,VALID,ACC1,85.78947368421052
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,TRAIN,LOSS,0.18479773414682477
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,TRAIN,ACC1,93.66333333333333
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,VALID,LOSS,0.3090580171457339
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,VALID,ACC1,88.18421052631578
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,TRAIN,LOSS,0.16566843897259165
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,TRAIN,ACC1,94.3025
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,VALID,LOSS,0.32962990461602176
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,VALID,ACC1,87.35526315789474
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,TRAIN,LOSS,0.14988865771264648
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,TRAIN,ACC1,94.8775
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,VALID,LOSS,0.29535174823678784
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,VALID,ACC1,89.47368421052632
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,TRAIN,LOSS,0.13695211073193028
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,TRAIN,ACC1,95.3
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,VALID,LOSS,0.3181387665246839
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,VALID,ACC1,89.36842105263158
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,TRAIN,LOSS,0.1251870408868829
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,TRAIN,ACC1,95.65833333333333
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,VALID,LOSS,0.40356802959034993
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,VALID,ACC1,88.18421052631578
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,TRAIN,LOSS,0.11630774110677718
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,TRAIN,ACC1,95.98083333333334
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,VALID,LOSS,0.38655523850224355
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,VALID,ACC1,87.72368421052632
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,TRAIN,LOSS,0.10739060495427646
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,TRAIN,ACC1,96.27583333333334
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,VALID,LOSS,0.4076924905714721
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,VALID,ACC1,87.48684210526316
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,TRAIN,LOSS,0.09951400741160997
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,TRAIN,ACC1,96.58
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,VALID,LOSS,0.4577450375917131
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,VALID,ACC1,87.3421052631579
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,TRAIN,LOSS,0.09238099889641167
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,TRAIN,ACC1,96.75666666666667
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,VALID,LOSS,0.4146884926494617
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,12,VALID,ACC1,88.31578947368422
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,TRAIN,LOSS,0.08643140521527978
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,TRAIN,ACC1,96.99333333333333
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,VALID,LOSS,0.4575794355409465
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,13,VALID,ACC1,89.14473684210526
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,TRAIN,LOSS,0.08132278325228358
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,TRAIN,ACC1,97.19166666666666
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,VALID,LOSS,0.40568722352101944
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,14,VALID,ACC1,89.76315789473685
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,TRAIN,LOSS,0.0751568066111232
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,TRAIN,ACC1,97.34416666666667
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,HYPER,LR,0.001
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,VALID,LOSS,0.41778748538165594
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,15,VALID,ACC1,89.19736842105263
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,16,TRAIN,LOSS,0.07163336063696732
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,16,TRAIN,ACC1,97.44833333333334
agnews,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,16,HYPER,LR,0.001
