DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.431527974319458
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,47.95
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,1,HYPER,LR,0.0005
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,1,VALID,LOSS,1.1112341172218323
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,1,VALID,ACC1,59.760000000000005
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.0081499940299987
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,64.08
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,2,HYPER,LR,0.0005
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,2,VALID,LOSS,0.9394527715682983
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,2,VALID,ACC1,66.51
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.8445254159927368
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,70.166
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,3,HYPER,LR,0.0005
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.8887150257110595
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,3,VALID,ACC1,69.61999999999999
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.74008917760849
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,74.01599999999999
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,4,HYPER,LR,0.0005
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.7761457382202148
cifar10,densenetbc100,adam_l0.0005_e100_w0_at_bf0.9_bs0.99,1,4,VALID,ACC1,73.15
