DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,1,TRAIN,LOSS,1.4648308947753905
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,1,TRAIN,ACC1,46.278
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,1,HYPER,LR,0.09999999995965161
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,1,VALID,LOSS,1.1158730957984924
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,1,VALID,ACC1,61.24000000000001
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,2,TRAIN,LOSS,0.9208947528648377
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,2,TRAIN,ACC1,67.086
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,2,HYPER,LR,0.09997526488345046
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,2,VALID,LOSS,0.9344968248367309
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,2,VALID,ACC1,68.04
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,3,TRAIN,LOSS,0.7193403963661194
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,3,TRAIN,ACC1,74.81599999999999
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,3,HYPER,LR,0.0999012102543962
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,3,VALID,LOSS,0.6637159488677978
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,3,VALID,ACC1,77.71000000000001
cifar10,densenetbc100,cos_l0.1_e100_w0.0001_m0.9_nf,1,4,TRAIN,LOSS,0.6028066258621216
