DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,1,TRAIN,LOSS,2.041568625564575
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,1,TRAIN,ACC1,28.462
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,1,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,1,VALID,LOSS,1.9370667638778687
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,1,VALID,ACC1,27.759999999999994
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,2,TRAIN,LOSS,1.4566701979064942
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,2,TRAIN,ACC1,46.374
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,2,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,2,VALID,LOSS,1.8029173030853272
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,2,VALID,ACC1,41.32
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,3,TRAIN,LOSS,1.180523646812439
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,3,TRAIN,ACC1,57.42
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,3,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,3,VALID,LOSS,1.934044811630249
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,3,VALID,ACC1,45.78
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,4,TRAIN,LOSS,0.9598217415237427
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,4,TRAIN,ACC1,66.00200000000001
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,4,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,4,VALID,LOSS,1.595573062324524
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,4,VALID,ACC1,49.38
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,5,TRAIN,LOSS,0.8084848646736145
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,5,TRAIN,ACC1,71.30799999999999
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,5,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,5,VALID,LOSS,1.1156289143562317
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,5,VALID,ACC1,64.57
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,6,TRAIN,LOSS,0.6996849894857406
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,6,TRAIN,ACC1,75.272
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,6,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,6,VALID,LOSS,0.7446624786376953
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,6,VALID,ACC1,74.33000000000001
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,7,TRAIN,LOSS,0.6108760701751709
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,7,TRAIN,ACC1,78.556
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,7,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,7,VALID,LOSS,0.9296050811767578
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,7,VALID,ACC1,69.34
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,8,TRAIN,LOSS,0.5391785821628571
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,8,TRAIN,ACC1,81.16600000000001
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,8,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,8,VALID,LOSS,0.6177818431377411
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,8,VALID,ACC1,79.07
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,9,TRAIN,LOSS,0.4810641286468506
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,9,TRAIN,ACC1,83.23
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,9,HYPER,LR,0.5
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,9,VALID,LOSS,1.0966886543273926
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,9,VALID,ACC1,68.09
cifar10,resnet50,adagrad_l0.5_e100_w0_d0_a0.1,1,10,TRAIN,LOSS,0.44416147411346435
