DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,1,TRAIN,LOSS,4.0316784938049315
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,1,TRAIN,ACC1,8.867999999999999
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,1,HYPER,LR,0.09999999995965161
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,1,VALID,LOSS,3.6416101921081543
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,1,VALID,ACC1,13.319999999999999
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,2,TRAIN,LOSS,3.384252103729248
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,2,TRAIN,ACC1,17.97
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,2,HYPER,LR,0.09997526488345046
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,2,VALID,LOSS,3.1047520648956297
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,2,VALID,ACC1,23.240000000000006
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,3,TRAIN,LOSS,2.789206623916626
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,3,TRAIN,ACC1,28.713999999999995
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,3,HYPER,LR,0.0999012102543962
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,3,VALID,LOSS,2.545687589263916
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,3,VALID,ACC1,33.120000000000005
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,4,TRAIN,LOSS,2.3691013646698
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,4,TRAIN,ACC1,37.222
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,4,HYPER,LR,0.09977790915546698
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,4,VALID,LOSS,2.3200731540679933
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,4,VALID,ACC1,39.690000000000005
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,5,TRAIN,LOSS,2.087994005279541
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,5,TRAIN,ACC1,43.45
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,5,HYPER,LR,0.0996054832699611
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,5,VALID,LOSS,2.061855712890625
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,5,VALID,ACC1,44.55
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,6,TRAIN,LOSS,1.8997625398254394
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,6,TRAIN,ACC1,47.885999999999996
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,6,HYPER,LR,0.09938410276141037
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,6,VALID,LOSS,1.9093693084716796
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,6,VALID,ACC1,48.07
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,7,TRAIN,LOSS,1.7414689511108399
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,7,TRAIN,ACC1,51.554
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,7,HYPER,LR,0.09911398610564909
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,7,VALID,LOSS,1.8832377639770508
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,7,VALID,ACC1,49.239999999999995
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,8,TRAIN,LOSS,1.6199770485687255
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,8,TRAIN,ACC1,54.38000000000001
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,8,HYPER,LR,0.09879539987520494
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,8,VALID,LOSS,1.766228950881958
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,8,VALID,ACC1,52.12
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,9,TRAIN,LOSS,1.5115675305175782
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,9,TRAIN,ACC1,56.938
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,9,HYPER,LR,0.09842865847622398
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,9,VALID,LOSS,1.7117475778579712
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,9,VALID,ACC1,53.71
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,10,TRAIN,LOSS,1.4217883673477172
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,10,TRAIN,ACC1,59.128
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,10,HYPER,LR,0.09801412383818978
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,10,VALID,LOSS,1.619810209083557
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,10,VALID,ACC1,55.400000000000006
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,11,TRAIN,LOSS,1.3478798166656494
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,11,TRAIN,ACC1,61.254
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,11,HYPER,LR,0.09755220505674272
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,11,VALID,LOSS,1.6755477706909179
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,11,VALID,ACC1,54.88999999999999
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,12,TRAIN,LOSS,1.2795894052886962
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,12,TRAIN,ACC1,62.9
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,12,HYPER,LR,0.09704335798995192
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,12,VALID,LOSS,1.5591879978179932
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,12,VALID,ACC1,57.61000000000001
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,13,TRAIN,LOSS,1.2120159801483155
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,13,TRAIN,ACC1,64.494
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,13,HYPER,LR,0.0964880848084385
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,13,VALID,LOSS,1.5046501480102539
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,13,VALID,ACC1,58.64
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,14,TRAIN,LOSS,1.162308030014038
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,14,TRAIN,ACC1,65.91
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,14,HYPER,LR,0.09588693349979366
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,14,VALID,LOSS,1.4943719682693481
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,14,VALID,ACC1,59.660000000000004
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,15,TRAIN,LOSS,1.1085140232467652
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,15,TRAIN,ACC1,67.36
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,15,HYPER,LR,0.09524049732778112
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,15,VALID,LOSS,1.4139239248275757
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,15,VALID,ACC1,61.64000000000001
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,16,TRAIN,LOSS,1.0585921491622925
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,16,TRAIN,ACC1,68.61999999999999
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,16,HYPER,LR,0.09454941424685748
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,16,VALID,LOSS,1.4124117715835571
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,16,VALID,ACC1,62.21
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,17,TRAIN,LOSS,1.0220724863433839
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,17,TRAIN,ACC1,69.502
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,17,HYPER,LR,0.09381436627258817
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,17,VALID,LOSS,1.4471560178756715
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,17,VALID,ACC1,60.77
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,18,TRAIN,LOSS,0.9819879220581055
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,18,TRAIN,ACC1,70.774
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,18,HYPER,LR,0.09303607880858039
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,18,VALID,LOSS,1.4248119941711426
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,18,VALID,ACC1,61.57
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,19,TRAIN,LOSS,0.9417466066551209
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,19,TRAIN,ACC1,71.604
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,19,HYPER,LR,0.09221531993059727
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,19,VALID,LOSS,1.4669745016098021
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,19,VALID,ACC1,60.709999999999994
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,20,TRAIN,LOSS,0.9131667914199829
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,20,TRAIN,ACC1,72.58
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,20,HYPER,LR,0.09135289962856
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,20,VALID,LOSS,1.3750785358428954
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,20,VALID,ACC1,63.629999999999995
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,21,TRAIN,LOSS,0.8841019312095643
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,21,TRAIN,ACC1,73.13000000000001
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,21,HYPER,LR,0.09044966900718542
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,21,VALID,LOSS,1.5675181550979613
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,21,VALID,ACC1,60.28
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,22,TRAIN,LOSS,0.8469247886276245
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,22,TRAIN,ACC1,74.25
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,22,HYPER,LR,0.08950651944604845
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,22,VALID,LOSS,1.4019565948486328
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,22,VALID,ACC1,63.17999999999999
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,23,TRAIN,LOSS,0.8166584842681884
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,23,TRAIN,ACC1,75.134
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,23,HYPER,LR,0.08852438171989814
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,23,VALID,LOSS,1.4507997798919678
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,23,VALID,ACC1,62.769999999999996
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,24,TRAIN,LOSS,0.8039330216026306
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,24,TRAIN,ACC1,75.604
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,24,HYPER,LR,0.08750422508009525
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,24,VALID,LOSS,1.47954779586792
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,24,VALID,ACC1,62.22
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,25,TRAIN,LOSS,0.7577106987762451
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,25,TRAIN,ACC1,76.666
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,25,HYPER,LR,0.0864470562980783
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,25,VALID,LOSS,1.5106583627700805
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,25,VALID,ACC1,62.29
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,26,TRAIN,LOSS,0.7383291188049317
cifar100,resnet50,cos_l0.1_e100_w0.0001_m0.9_nf,1,26,TRAIN,ACC1,77.208
