DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,1,TRAIN,LOSS,3.6869977084350585
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,1,TRAIN,ACC1,13.158000000000003
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,1,HYPER,LR,0.0005
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,1,VALID,LOSS,3.7354593490600587
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,1,VALID,ACC1,13.770000000000005
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,2,TRAIN,LOSS,2.9246239524841307
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,2,TRAIN,ACC1,25.83
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,2,HYPER,LR,0.0005
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,2,VALID,LOSS,3.0363504383087156
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,2,VALID,ACC1,25.69
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,3,TRAIN,LOSS,2.478665213661194
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,3,TRAIN,ACC1,34.682
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,3,HYPER,LR,0.0005
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,3,VALID,LOSS,2.980957549285889
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,3,VALID,ACC1,26.939999999999998
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,4,TRAIN,LOSS,2.1616849882507325
cifar100,resnet50,rmsprop_l0.0005_e100_w0_m0_ct_a0.99,1,4,TRAIN,ACC1,41.734
