DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.9200628106987722
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,66.97092857142857
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,HYPER,LR,0.0005
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,VALID,LOSS,0.7983243070567609
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,VALID,ACC1,70.67999999999999
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.8656739756824351
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,70.02771428571428
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,HYPER,LR,0.0005
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,VALID,LOSS,0.757373301375346
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,VALID,ACC1,71.735
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.842357770235939
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,70.79321428571428
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,HYPER,LR,0.0005
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.7486335405059861
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,VALID,ACC1,72.235
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.8275095640178792
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,71.17928571428571
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,HYPER,LR,0.0005
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.7483379451198142
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,VALID,ACC1,72.48166666666667
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.8163731174931481
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,71.55257142857143
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,HYPER,LR,0.0005
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,VALID,LOSS,0.7328569219306927
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,VALID,ACC1,72.825
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.8073661224477332
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,71.81935714285714
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,HYPER,LR,0.0005
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,VALID,LOSS,0.7348780883097548
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,VALID,ACC1,72.875
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.8001131439365309
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,TRAIN,ACC1,72.02107142857143
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,HYPER,LR,0.0005
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,VALID,LOSS,0.7317206919395559
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,7,VALID,ACC1,72.845
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.794293974804065
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,TRAIN,ACC1,72.1895
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,HYPER,LR,0.0005
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,VALID,LOSS,0.7199397771032795
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,8,VALID,ACC1,72.96333333333334
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.7891194147612791
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,TRAIN,ACC1,72.35078571428572
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,HYPER,LR,0.0005
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,VALID,LOSS,0.7185068493913432
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,9,VALID,ACC1,73.04166666666667
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,TRAIN,LOSS,0.7846697444987839
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,TRAIN,ACC1,72.48078571428572
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,HYPER,LR,0.0005
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,VALID,LOSS,0.7103997405839892
yahooa,rcnn,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,10,VALID,ACC1,73.10333333333332
