DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,1.102852213730332
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,58.44192857142857
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,HYPER,LR,0.04999999999983887
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,VALID,LOSS,0.9278113364522064
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,VALID,ACC1,67.39333333333333
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,1.018341380960678
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,65.15657142857143
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,HYPER,LR,0.04969219447319454
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,VALID,LOSS,0.927185808585675
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,VALID,ACC1,65.73333333333333
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,1.0020225825739821
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,65.84521428571428
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,HYPER,LR,0.048776385169925045
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,VALID,LOSS,0.9124923427099995
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,VALID,ACC1,66.225
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,0.9899695910755544
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,66.26378571428572
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,HYPER,LR,0.04727512235447366
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,VALID,LOSS,0.8777731992415141
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,VALID,ACC1,67.0
yahooa,rcnn,cos_l0.05_e20_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,0.9802682635002261
