DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,TRAIN,LOSS,1.0594451533616813
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,TRAIN,ACC1,60.18528571428572
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,HYPER,LR,0.049999692784950145
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,VALID,LOSS,1.0011336564890365
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,VALID,ACC1,63.563333333333325
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,TRAIN,LOSS,0.9446204805986321
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,TRAIN,ACC1,66.75564285714286
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,HYPER,LR,0.049999244379684164
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,VALID,LOSS,0.862407477970944
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,VALID,ACC1,66.635
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,TRAIN,LOSS,0.9097704629902791
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,TRAIN,ACC1,68.16971428571428
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,HYPER,LR,0.049998141514914975
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,VALID,LOSS,0.8378058375369999
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,VALID,ACC1,67.61333333333333
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,TRAIN,LOSS,0.891141887605703
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,TRAIN,ACC1,68.75592857142857
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,HYPER,LR,0.04999542911228727
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,VALID,LOSS,0.8323461848249974
yahooa,rcnn,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,VALID,ACC1,67.36166666666666
