DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,0.8169918142754984
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,69.43385714285715
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,HYPER,LR,0.0005
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,VALID,LOSS,0.7448982011993248
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,1,VALID,ACC1,71.33166666666666
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.7714694457674678
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,71.83307142857143
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,HYPER,LR,0.0005
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,VALID,LOSS,0.7290558205436029
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,2,VALID,ACC1,71.89833333333333
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.7571946482653941
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,72.28628571428571
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,HYPER,LR,0.0005
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.7294982994993146
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,3,VALID,ACC1,72.04333333333332
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.7465577474754741
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,72.54849999999999
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,HYPER,LR,0.0005
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.7232051838692853
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,4,VALID,ACC1,72.515
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.7389314335432359
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,72.776
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,HYPER,LR,0.0005
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,VALID,LOSS,0.7179531233638418
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,5,VALID,ACC1,72.51166666666666
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.733467748229372
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,72.94592857142857
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,HYPER,LR,0.0005
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,VALID,LOSS,0.7135507059092142
yahooa,s2satt,adam_l0.0005_e20_w0_at_bf0.9_bs0.99,1,6,VALID,ACC1,72.66333333333334
