DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,TRAIN,LOSS,0.8101073634866306
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,TRAIN,ACC1,68.90985714285715
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,HYPER,LR,0.049999692784950145
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,VALID,LOSS,0.7789633341985244
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,VALID,ACC1,70.88666666666667
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,TRAIN,LOSS,0.7628765267423376
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,TRAIN,ACC1,71.88907142857143
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,HYPER,LR,0.049999244379684164
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,VALID,LOSS,0.7580018193670578
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,VALID,ACC1,71.49666666666667
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,TRAIN,LOSS,0.7451750953214189
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,TRAIN,ACC1,72.51764285714286
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,HYPER,LR,0.049998141514914975
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,VALID,LOSS,0.7399269064432741
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,VALID,ACC1,72.03666666666666
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,TRAIN,LOSS,0.7340532494284246
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,TRAIN,ACC1,72.91642857142857
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,HYPER,LR,0.04999542911228727
yahooa,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,VALID,LOSS,0.7319896146938426
