DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,TRAIN,LOSS,0.7775317723114105
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,TRAIN,ACC1,70.90285714285714
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,HYPER,LR,0.001
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,VALID,LOSS,0.757599884227536
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,VALID,ACC1,71.56166666666667
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,TRAIN,LOSS,0.734136453031164
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,TRAIN,ACC1,73.02964285714286
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,HYPER,LR,0.001
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,VALID,LOSS,0.7198267865902866
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,VALID,ACC1,72.00833333333334
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,TRAIN,LOSS,0.7167779882500359
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,TRAIN,ACC1,73.619
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,HYPER,LR,0.001
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,VALID,LOSS,0.7197523821881933
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,VALID,ACC1,71.96166666666667
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,TRAIN,LOSS,0.7072431016482746
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,TRAIN,ACC1,73.96735714285714
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,HYPER,LR,0.001
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,VALID,LOSS,0.712068835204233
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,VALID,ACC1,72.31
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,TRAIN,LOSS,0.7008052876170924
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,TRAIN,ACC1,74.222
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,HYPER,LR,0.001
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,VALID,LOSS,0.7069855811200328
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,VALID,ACC1,72.27333333333334
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,TRAIN,LOSS,0.695887504523923
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,TRAIN,ACC1,74.37614285714285
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,HYPER,LR,0.001
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,VALID,LOSS,0.7044215632355982
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,VALID,ACC1,72.22333333333333
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,TRAIN,LOSS,0.6945165487495576
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,TRAIN,ACC1,74.49407142857143
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,HYPER,LR,0.001
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,VALID,LOSS,0.6976569054311758
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,VALID,ACC1,72.52499999999999
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,TRAIN,LOSS,0.6887503007057028
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,TRAIN,ACC1,73.76114285714286
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,HYPER,LR,0.001
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,VALID,LOSS,0.6920960755215584
yahooa,s2satt,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,VALID,ACC1,72.68333333333334
