DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,TRAIN,LOSS,1.204404083098028
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,TRAIN,ACC1,44.83984615384615
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,HYPER,LR,0.5
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,VALID,LOSS,1.1036446444536527
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,1,VALID,ACC1,48.864
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,TRAIN,LOSS,1.0988761360870478
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,TRAIN,ACC1,51.30584615384615
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,HYPER,LR,0.5
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,VALID,LOSS,1.0802255077598022
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,2,VALID,ACC1,51.634
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,TRAIN,LOSS,1.114360647744165
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,TRAIN,ACC1,51.49507692307692
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,HYPER,LR,0.5
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,VALID,LOSS,1.1658915755552317
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,3,VALID,ACC1,46.51
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,TRAIN,LOSS,1.1019931005916483
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,TRAIN,ACC1,51.30784615384616
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,HYPER,LR,0.5
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,VALID,LOSS,1.1521794793370694
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,4,VALID,ACC1,49.478
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,TRAIN,LOSS,1.0979511012928322
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,TRAIN,ACC1,51.9036923076923
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,HYPER,LR,0.5
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,VALID,LOSS,1.2623850925091342
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,5,VALID,ACC1,44.556
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,TRAIN,LOSS,1.0808980376373454
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,TRAIN,ACC1,52.37876923076923
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,HYPER,LR,0.5
yelprf,rcnn,adagrad_l0.5_e20_w0_d0_a0.1,1,6,VALID,LOSS,1.092898190647453
