DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,TRAIN,LOSS,0.9360345752497999
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,TRAIN,ACC1,57.773999999999994
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,HYPER,LR,0.001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,VALID,LOSS,0.8712827160689057
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,1,VALID,ACC1,60.646
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,TRAIN,LOSS,0.8747307592005776
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,TRAIN,ACC1,61.47815384615385
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,HYPER,LR,0.001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,VALID,LOSS,0.8571131919434513
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,2,VALID,ACC1,62.040000000000006
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,TRAIN,LOSS,0.8507180232436715
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,TRAIN,ACC1,62.818769230769234
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,HYPER,LR,0.001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,VALID,LOSS,0.8379027528139062
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,3,VALID,ACC1,63.01
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,TRAIN,LOSS,0.8432406678944045
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,TRAIN,ACC1,63.44753846153846
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,HYPER,LR,0.001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,VALID,LOSS,0.8644324957812078
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,4,VALID,ACC1,61.51800000000001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,TRAIN,LOSS,0.8283389465094915
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,TRAIN,ACC1,63.879384615384616
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,HYPER,LR,0.001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,VALID,LOSS,0.8429624792510081
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,5,VALID,ACC1,62.378
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,TRAIN,LOSS,0.8270315615539291
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,TRAIN,ACC1,64.23784615384616
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,HYPER,LR,0.001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,VALID,LOSS,0.8574581432656551
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,6,VALID,ACC1,62.33800000000001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,TRAIN,LOSS,0.8220542726820854
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,TRAIN,ACC1,64.33338461538462
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,HYPER,LR,0.001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,VALID,LOSS,0.8383211699537679
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,7,VALID,ACC1,62.558
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,TRAIN,LOSS,0.8192135151988605
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,TRAIN,ACC1,64.61769230769231
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,HYPER,LR,0.001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,VALID,LOSS,0.8697429473008964
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,8,VALID,ACC1,62.047999999999995
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,TRAIN,LOSS,0.8132665008128585
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,TRAIN,ACC1,64.69984615384615
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,HYPER,LR,0.001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,VALID,LOSS,0.8506338219043011
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,9,VALID,ACC1,61.37200000000001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,TRAIN,LOSS,0.8129162922715678
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,TRAIN,ACC1,64.6986153846154
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,HYPER,LR,0.001
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,VALID,LOSS,0.8532357739378199
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,10,VALID,ACC1,60.452
yelprf,rcnn,rmsprop_l0.001_e20_w0_m0_cf_a0.99,1,11,TRAIN,LOSS,0.8133660599788677
