DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,1.4339770556136402
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,38.12923076923077
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,1,HYPER,LR,0.05004999561787628
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,1.3854770372745417
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,35.895999999999994
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,1.19502483929795
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,46.601230769230774
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,2,HYPER,LR,0.05004998470488865
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,1.2194510487146943
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,43.71000000000001
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,1.1169900695355217
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,50.153076923076924
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,3,HYPER,LR,0.05004994661485649
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,1.041720773171266
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,48.88400000000001
yelprf,rcnn,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,1.1079613662870735
