DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,0.9263502544786691
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,57.270307692307696
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,HYPER,LR,0.049999999999252524
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,VALID,LOSS,0.9024344907350721
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,1,VALID,ACC1,58.23400000000001
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,0.8819662255010543
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,60.681692307692316
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,HYPER,LR,0.04969217827160052
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,VALID,LOSS,0.9211445232551378
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,2,VALID,ACC1,58.098000000000006
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,0.8649295122900307
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,61.60569230769231
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,HYPER,LR,0.04877635316626036
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,VALID,LOSS,0.8713008931709126
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,3,VALID,ACC1,60.440000000000005
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,0.8549244369045901
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,62.02692307692308
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,HYPER,LR,0.04727507533677477
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,VALID,LOSS,0.8631201733958827
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,4,VALID,ACC1,60.694
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,0.8455797238828827
yelprf,s2satt,cos_l0.05_e20_w0.0001_m0.9_nt,1,5,TRAIN,ACC1,62.426
