DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,TRAIN,LOSS,0.9119289819433571
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,TRAIN,ACC1,57.81846153846154
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,HYPER,LR,0.049999692777658304
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,VALID,LOSS,0.8764589430186841
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,1,VALID,ACC1,59.884
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,TRAIN,LOSS,0.842883800459444
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,TRAIN,ACC1,62.31215384615385
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,HYPER,LR,0.04999924436174944
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,VALID,LOSS,0.8367404547953768
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,2,VALID,ACC1,62.224000000000004
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,TRAIN,LOSS,0.8105972032755169
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,TRAIN,ACC1,63.79600000000001
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,HYPER,LR,0.04999814147080463
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,VALID,LOSS,0.8142809364730119
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,3,VALID,ACC1,63.23
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,TRAIN,LOSS,0.7867850982629825
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,TRAIN,ACC1,64.78307692307692
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,HYPER,LR,0.04999542900380508
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,VALID,LOSS,0.8081010610379379
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,4,VALID,ACC1,63.263999999999996
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,5,TRAIN,LOSS,0.7704329935536568
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,5,TRAIN,ACC1,65.53307692307693
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,5,HYPER,LR,0.04998875866354593
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,5,VALID,LOSS,0.8107047988568609
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,5,VALID,ACC1,63.373999999999995
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,6,TRAIN,LOSS,0.7583532534993894
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,6,TRAIN,ACC1,65.98107692307693
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,6,HYPER,LR,0.049972359844216524
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,6,VALID,LOSS,0.8107102113377435
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,6,VALID,ACC1,63.43
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,7,TRAIN,LOSS,0.7465413070812046
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,7,TRAIN,ACC1,66.46261538461539
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,7,HYPER,LR,0.049932070996930596
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,7,VALID,LOSS,0.7878707703383881
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,7,VALID,ACC1,64.412
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,8,TRAIN,LOSS,0.738450104629094
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,8,TRAIN,ACC1,66.81461538461538
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,8,HYPER,LR,0.04983325227140491
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,8,VALID,LOSS,0.7832380246099508
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,8,VALID,ACC1,64.56200000000001
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,9,TRAIN,LOSS,0.730309020414811
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,9,TRAIN,ACC1,67.17692307692307
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,9,HYPER,LR,0.04959185350676378
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,9,VALID,LOSS,0.7808852463571303
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,9,VALID,ACC1,64.528
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,10,TRAIN,LOSS,0.723205749354031
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,10,TRAIN,ACC1,67.34369230769231
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,10,HYPER,LR,0.049007941631590946
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,10,VALID,LOSS,0.7792563614670874
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,10,VALID,ACC1,64.656
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,11,TRAIN,LOSS,0.7150210964588501
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,11,TRAIN,ACC1,67.67
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,11,HYPER,LR,0.047628606257901406
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,11,VALID,LOSS,0.778712906988511
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,11,VALID,ACC1,64.73
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,12,TRAIN,LOSS,0.7065877856728713
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,12,TRAIN,ACC1,67.986
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,12,HYPER,LR,0.04454494361813653
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,12,VALID,LOSS,0.7788928455655628
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,12,VALID,ACC1,64.46600000000001
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,13,TRAIN,LOSS,0.6956294157535531
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,13,TRAIN,ACC1,68.42276923076923
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,13,HYPER,LR,0.03842584507535601
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,13,VALID,LOSS,0.777635329017337
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,13,VALID,ACC1,64.68599999999999
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,14,TRAIN,LOSS,0.6808712364235527
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,14,TRAIN,ACC1,68.91753846153847
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,14,HYPER,LR,0.028721584282944593
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,14,VALID,LOSS,0.7809922384905557
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,14,VALID,ACC1,64.68199999999999
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,15,TRAIN,LOSS,0.6699325610188054
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,15,TRAIN,ACC1,69.37584615384615
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,15,HYPER,LR,0.017716677859370488
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,15,VALID,LOSS,0.7831546140234401
yelprf,s2satt,htd_l0.05_e20_w0_m0.9_nt_l-6_u3,1,15,VALID,ACC1,65.00399999999999
