DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,0.9264196596434963
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,57.24400000000001
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,1,HYPER,LR,0.05004999561787628
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,0.8934968441587815
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,58.738
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,0.8821263571882898
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,60.62276923076924
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,2,HYPER,LR,0.05004998470488865
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,0.9209437453860723
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,58.440000000000005
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,0.8663748833227946
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,61.542461538461545
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,3,HYPER,LR,0.05004994661485649
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,0.875862972373104
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,60.28800000000001
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,0.8581780547236249
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,61.880923076923075
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,4,HYPER,LR,0.05004981366803579
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,4,VALID,LOSS,0.8736280954902125
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,4,VALID,ACC1,60.73
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,5,TRAIN,LOSS,0.851123884852865
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,5,TRAIN,ACC1,62.20738461538462
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,5,HYPER,LR,0.05004934964357667
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,5,VALID,LOSS,0.8435390102784929
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,5,VALID,ACC1,61.407999999999994
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,6,TRAIN,LOSS,0.8451496530000875
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,6,TRAIN,ACC1,62.41892307692307
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,6,HYPER,LR,0.05004773010656488
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,6,VALID,LOSS,0.8328693413168325
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,6,VALID,ACC1,61.754
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,7,TRAIN,LOSS,0.8387051208610992
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,7,TRAIN,ACC1,62.62015384615385
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,7,HYPER,LR,0.050042078189044874
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,7,VALID,LOSS,0.8606436239743533
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,7,VALID,ACC1,61.17399999999999
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,8,TRAIN,LOSS,0.835815219797861
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,8,TRAIN,ACC1,62.775230769230774
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,8,HYPER,LR,0.050022361068153824
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,8,VALID,LOSS,0.837554422278056
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,8,VALID,ACC1,61.50800000000001
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,9,TRAIN,LOSS,0.832506914800905
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,9,TRAIN,ACC1,62.93553846153846
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,9,HYPER,LR,0.04995366326683363
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,9,VALID,LOSS,0.8367361050474725
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,9,VALID,ACC1,61.476
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,10,TRAIN,LOSS,0.8292849567879353
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,10,TRAIN,ACC1,63.086
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,10,HYPER,LR,0.04971535745378577
yelprf,s2satt,taso_l0.05_e20_w0.0001_m0.9_nt_a25_b0.7,1,10,VALID,LOSS,0.8328342417502125
