DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,densenetbc100,adagrad_l0.01_e10_w0_d0_a0,1,1,TRAIN,LOSS,1.326511180267334
cifar10,densenetbc100,adagrad_l0.01_e10_w0_d0_a0,1,1,TRAIN,ACC1,51.574
cifar10,densenetbc100,adagrad_l0.01_e10_w0_d0_a0,1,1,HYPER,LR,0.01
cifar10,densenetbc100,adagrad_l0.01_e10_w0_d0_a0,1,1,VALID,LOSS,1.134170633983612
cifar10,densenetbc100,adagrad_l0.01_e10_w0_d0_a0,1,1,VALID,ACC1,58.89
cifar10,densenetbc100,adagrad_l0.01_e10_w0_d0_a0,1,2,TRAIN,LOSS,0.9192450962638855
cifar10,densenetbc100,adagrad_l0.01_e10_w0_d0_a0,1,2,TRAIN,ACC1,67.306
cifar10,densenetbc100,adagrad_l0.01_e10_w0_d0_a0,1,2,HYPER,LR,0.01
cifar10,densenetbc100,adagrad_l0.01_e10_w0_d0_a0,1,2,VALID,LOSS,0.9495557497024536
cifar10,densenetbc100,adagrad_l0.01_e10_w0_d0_a0,1,2,VALID,ACC1,67.73
