DATA,MODEL,OPTIM,EXECUTION,EPOCH,TRAIN LOSS,TRAIN ACC1,VALID LOSS,VALID ACC1
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,99,0.03641007803812623,98.72399999999999,0.5286727232366799,89.35
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,2,97,0.03622909471437335,98.788,0.5131056254029274,89.27000000000002
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,86,0.0316736537378747,98.99600000000001,0.4398192735910416,92.65
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,2,91,0.034871530369841496,98.904,0.5112505615115166,92.34
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,3,92,0.03768552697265405,98.786,0.5648963740110398,92.19
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,4,86,0.0423428708336642,98.72200000000001,0.5260238693729044,92.1
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,5,99,0.036252168126376313,98.89,0.5206618828415871,92.49
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,73,0.023496849507112057,99.198,0.4166144306898117,92.66
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,2,96,0.016226701023128117,99.448,0.4852918492496013,92.9
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,3,66,0.024354486163314436,99.146,0.4078108293925412,92.65
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,4,89,0.01757266774681397,99.44,0.4737025017976761,92.38
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,5,100,0.015260007187582088,99.50399999999999,0.4318798343718052,93.01
cifar10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,79,0.14870081025898454,94.76799999999999,0.2992125238895416,90.97
cifar10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,2,90,0.1501356448340416,94.774,0.3036440126657486,91.08
cifar10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,3,98,0.14320513606071472,95.04,0.3114462836772203,90.92
cifar10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,4,92,0.1444815500664711,94.916,0.29635369784832,91.4
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,93,0.6729043049526214,76.51,0.8878689004898072,69.91000000000001
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,2,93,0.6749234179210662,76.68599999999998,0.8359785034179688,72.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,1,99,0.013106007861306423,99.55799999999999,0.4627495586795733,92.33
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,2,93,0.01232687954209745,99.596,0.4734811324477196,91.87
cifar10,resnet34,sgd_l0.1_e100_w0_m0_nf,3,96,0.01560628880135715,99.46799999999999,0.4660848439455033,92.19
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,90,0.0006710623719131401,99.984,0.3785303992152214,93.79
