DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
agnews,rcnn,adagrad_l0.01_e2_w0_d0_a0,1,1,TRAIN,LOSS,0.375276433312452
agnews,rcnn,adagrad_l0.01_e2_w0_d0_a0,1,1,TRAIN,ACC1,88.40416666666667
agnews,rcnn,adagrad_l0.01_e2_w0_d0_a0,1,1,HYPER,LR,0.01
agnews,rcnn,adagrad_l0.01_e2_w0_d0_a0,1,1,VALID,LOSS,0.29039164651149973
agnews,rcnn,adagrad_l0.01_e2_w0_d0_a0,1,1,VALID,ACC1,90.02631578947368
agnews,rcnn,adagrad_l0.01_e2_w0_d0_a0,1,2,TRAIN,LOSS,0.30965196126095496
agnews,rcnn,adagrad_l0.01_e2_w0_d0_a0,1,2,TRAIN,ACC1,90.3875
agnews,rcnn,adagrad_l0.01_e2_w0_d0_a0,1,2,HYPER,LR,0.01
agnews,rcnn,adagrad_l0.01_e2_w0_d0_a0,1,2,VALID,LOSS,0.26253567794928717
agnews,rcnn,adagrad_l0.01_e2_w0_d0_a0,1,2,VALID,ACC1,90.64473684210526
