DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,TRAIN,LOSS,1.4528350464630126
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,TRAIN,ACC1,46.550000000000004
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,VALID,LOSS,1.8029875417709351
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,VALID,ACC1,40.81
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,TRAIN,LOSS,0.9846613664054871
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,TRAIN,ACC1,64.482
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,VALID,LOSS,0.9803981718063355
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,VALID,ACC1,66.16
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,TRAIN,LOSS,0.8069430976867675
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,TRAIN,ACC1,71.30199999999999
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,VALID,LOSS,1.1703359924316405
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,VALID,ACC1,63.22
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,TRAIN,LOSS,0.6847343367004395
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,TRAIN,ACC1,75.974
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,VALID,LOSS,0.739555975151062
cifar10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,VALID,ACC1,73.77
