DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,1,TRAIN,LOSS,1.9217840228271483
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,1,TRAIN,ACC1,28.662
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,1,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,1,VALID,LOSS,1.7923654954910277
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,1,VALID,ACC1,33.32000000000001
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,2,TRAIN,LOSS,1.722256868019104
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,2,TRAIN,ACC1,36.065999999999995
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,2,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,2,VALID,LOSS,1.6434213764190675
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,2,VALID,ACC1,38.339999999999996
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,3,TRAIN,LOSS,1.5795910369110107
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,3,TRAIN,ACC1,41.300000000000004
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,3,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,3,VALID,LOSS,1.9038653068542482
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,3,VALID,ACC1,36.150000000000006
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,4,TRAIN,LOSS,1.4714997831726073
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,4,TRAIN,ACC1,45.757999999999996
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,4,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,4,VALID,LOSS,1.4425539446830749
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,4,VALID,ACC1,46.88
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,5,TRAIN,LOSS,1.3643190089035033
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,5,TRAIN,ACC1,50.019999999999996
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,5,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,5,VALID,LOSS,1.4730321924209595
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,5,VALID,ACC1,46.98
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,6,TRAIN,LOSS,1.2691230363845825
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,6,TRAIN,ACC1,53.53
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,6,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,6,VALID,LOSS,1.3276861873626709
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,6,VALID,ACC1,52.04
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,7,TRAIN,LOSS,1.1834947537994385
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,7,TRAIN,ACC1,57.082
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,7,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,7,VALID,LOSS,1.2049907632827759
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,7,VALID,ACC1,56.85
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,8,TRAIN,LOSS,1.1130629029464723
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,8,TRAIN,ACC1,59.45400000000001
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,8,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,8,VALID,LOSS,1.1711699642181397
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,8,VALID,ACC1,58.84
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,9,TRAIN,LOSS,1.0443068543624878
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,9,TRAIN,ACC1,62.088
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,9,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,9,VALID,LOSS,1.0657061443328857
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,9,VALID,ACC1,61.349999999999994
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,10,TRAIN,LOSS,0.9844044471740723
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,10,TRAIN,ACC1,64.576
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,10,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,10,VALID,LOSS,1.0804496864318847
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,10,VALID,ACC1,62.07
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,11,TRAIN,LOSS,0.9340721702957153
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,11,TRAIN,ACC1,66.73400000000001
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,11,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,11,VALID,LOSS,1.1675553380966186
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,11,VALID,ACC1,58.919999999999995
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,12,TRAIN,LOSS,0.8883518364715576
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,12,TRAIN,ACC1,68.164
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,12,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,12,VALID,LOSS,1.151202467727661
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,12,VALID,ACC1,62.55
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,13,TRAIN,LOSS,0.8473053921890259
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,13,TRAIN,ACC1,69.65
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,13,HYPER,LR,0.01
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,13,VALID,LOSS,0.9664860033035279
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,13,VALID,ACC1,66.02
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,14,TRAIN,LOSS,0.8100482173156738
cifar10,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,14,TRAIN,ACC1,71.10000000000001
