DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.4418251363754273
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,46.864
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,1,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,1,VALID,LOSS,1.1733701683044433
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,1,VALID,ACC1,57.82000000000001
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.0123707488441467
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,63.624
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,2,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,2,VALID,LOSS,1.0042063210487366
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,2,VALID,ACC1,64.63
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.8136479399490356
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,71.37800000000001
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,3,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,3,VALID,LOSS,0.8628136978149414
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,3,VALID,ACC1,71.6
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.676494750289917
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,76.644
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,4,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,4,VALID,LOSS,0.8348755702972412
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,4,VALID,ACC1,71.71000000000001
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.5894779285430908
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,79.524
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,5,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,5,VALID,LOSS,0.5902225865364075
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,5,VALID,ACC1,80.08
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.5306415008926392
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,81.744
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,6,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,6,VALID,LOSS,0.5809301961898804
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,6,VALID,ACC1,80.47999999999999
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.4822741772079468
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,7,TRAIN,ACC1,83.334
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,7,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,7,VALID,LOSS,0.5158326067447663
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,7,VALID,ACC1,82.56
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.4444681460762024
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,8,TRAIN,ACC1,84.91
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,8,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,8,VALID,LOSS,0.5206957301139832
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,8,VALID,ACC1,82.36
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.4114474449157715
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,9,TRAIN,ACC1,85.772
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,9,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,9,VALID,LOSS,0.43509425210952757
cifar10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,9,VALID,ACC1,85.25
