DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.4143734978485107
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,47.95399999999999
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,VALID,LOSS,1.1442795022964478
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,VALID,ACC1,59.010000000000005
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.9685788237762452
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,65.472
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.956906130027771
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,VALID,ACC1,67.03
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.7625978881263733
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,72.908
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.7717606658935547
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,VALID,ACC1,73.88
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.6311710803413391
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,78.038
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.6352335040092468
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,VALID,ACC1,78.35
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.5433755051612854
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,81.03
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,VALID,LOSS,0.5478530146598816
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,VALID,ACC1,82.0
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.47540051255226135
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,83.444
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,6,HYPER,LR,0.001
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,6,VALID,LOSS,0.5631368232727051
cifar10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,6,VALID,ACC1,81.5
