DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,1,TRAIN,LOSS,2.250116544342041
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,1,TRAIN,ACC1,19.823999999999998
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,1,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,1,VALID,LOSS,4.562984698867798
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,1,VALID,ACC1,9.999999999999998
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,2,TRAIN,LOSS,2.036058452529907
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,2,TRAIN,ACC1,21.860000000000003
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,2,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,2,VALID,LOSS,11.670947106933594
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,2,VALID,ACC1,9.899999999999999
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,3,TRAIN,LOSS,2.001842698059082
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,3,TRAIN,ACC1,22.526000000000003
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,3,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,3,VALID,LOSS,2.3470485219955446
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,3,VALID,ACC1,17.400000000000006
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,4,TRAIN,LOSS,1.9949790642929077
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,4,TRAIN,ACC1,22.724
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,4,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,4,VALID,LOSS,5.512719992828369
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,4,VALID,ACC1,17.75
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,5,TRAIN,LOSS,2.0042549479293825
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,5,TRAIN,ACC1,22.404000000000003
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,5,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,5,VALID,LOSS,10.95397096862793
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,5,VALID,ACC1,10.960000000000003
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,6,TRAIN,LOSS,1.9895634846496582
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,6,TRAIN,ACC1,22.518000000000004
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,6,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,6,VALID,LOSS,11.489142253112792
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,6,VALID,ACC1,11.550000000000004
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,7,TRAIN,LOSS,2.000973194961548
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,7,TRAIN,ACC1,22.636
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,7,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,7,VALID,LOSS,12.528719902038574
cifar10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_ct_a0.99,1,7,VALID,ACC1,9.999999999999998
