DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,1,TRAIN,LOSS,2.3333224752044677
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,1,TRAIN,ACC1,17.36
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,1,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,1,VALID,LOSS,2.4497036506652834
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,1,VALID,ACC1,16.04
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,2,TRAIN,LOSS,1.7007984085845946
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,2,TRAIN,ACC1,35.484
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,2,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,2,VALID,LOSS,1.534095011138916
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,2,VALID,ACC1,42.93
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,3,TRAIN,LOSS,1.423514706916809
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,3,TRAIN,ACC1,47.586
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,3,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,3,VALID,LOSS,1.1964365839004516
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,3,VALID,ACC1,56.03
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,4,TRAIN,LOSS,1.2109878350448608
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,4,TRAIN,ACC1,56.556000000000004
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,4,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,4,VALID,LOSS,1.09948907995224
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,4,VALID,ACC1,60.02000000000001
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,5,TRAIN,LOSS,1.0642100724983214
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,5,TRAIN,ACC1,62.39
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,5,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0.9_cf_a0.99,1,5,VALID,LOSS,1.1400285638809204
