DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,1,TRAIN,LOSS,1.6536972119140625
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,1,TRAIN,ACC1,39.89
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,1,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,1,VALID,LOSS,1.849545393562317
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,1,VALID,ACC1,39.900000000000006
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,2,TRAIN,LOSS,1.007673220539093
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,2,TRAIN,ACC1,64.132
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,2,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,2,VALID,LOSS,1.3748750645637513
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,2,VALID,ACC1,59.24
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,3,TRAIN,LOSS,0.7524887636947631
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,3,TRAIN,ACC1,73.59800000000001
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,3,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,3,VALID,LOSS,1.4475072034835816
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,3,VALID,ACC1,59.11
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,4,TRAIN,LOSS,0.6142512961959838
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,4,TRAIN,ACC1,78.75
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,4,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,4,VALID,LOSS,0.8558164304733277
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,4,VALID,ACC1,71.44
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,5,TRAIN,LOSS,0.5247499074172973
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,5,TRAIN,ACC1,81.946
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,5,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,5,VALID,LOSS,0.7920811957836151
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,5,VALID,ACC1,75.33999999999999
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,6,TRAIN,LOSS,0.45895398091316225
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,6,TRAIN,ACC1,84.158
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,6,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,6,VALID,LOSS,0.5608356177330017
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,6,VALID,ACC1,80.74
