DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,1,TRAIN,LOSS,1.635799249534607
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,1,TRAIN,ACC1,40.788000000000004
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,1,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,1,VALID,LOSS,1.5849290349960328
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,1,VALID,ACC1,43.85
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,2,TRAIN,LOSS,1.01771271150589
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,2,TRAIN,ACC1,63.56999999999999
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,2,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,2,VALID,LOSS,1.385663879585266
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,2,VALID,ACC1,57.550000000000004
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,3,TRAIN,LOSS,0.7578468378448486
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,3,TRAIN,ACC1,73.44200000000001
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,3,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,3,VALID,LOSS,1.187652792930603
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,3,VALID,ACC1,64.55
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,4,TRAIN,LOSS,0.6148219325256348
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,4,TRAIN,ACC1,78.69800000000001
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,4,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,4,VALID,LOSS,1.1489102417945862
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,4,VALID,ACC1,65.47
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,5,TRAIN,LOSS,0.5236880198478698
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,5,TRAIN,ACC1,81.928
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,5,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,5,VALID,LOSS,1.055758697128296
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,5,VALID,ACC1,68.95
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,6,TRAIN,LOSS,0.46114438416957854
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,6,TRAIN,ACC1,84.11
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,6,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,6,VALID,LOSS,0.5560522767543793
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,6,VALID,ACC1,81.60000000000001
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,7,TRAIN,LOSS,0.4160497135734558
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,7,TRAIN,ACC1,85.764
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,7,HYPER,LR,0.01
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,7,VALID,LOSS,0.9475332596778869
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,7,VALID,ACC1,71.97
cifar10,resnet34,rmsprop_l0.01_e100_w0_m0_ct_a0.99,1,8,TRAIN,LOSS,0.37384801025390624
