DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,1,TRAIN,LOSS,1.493496829147339
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,1,TRAIN,ACC1,45.094
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,1,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,1,VALID,LOSS,1.4700307626724243
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,1,VALID,ACC1,52.160000000000004
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,2,TRAIN,LOSS,0.9328996286010742
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,2,TRAIN,ACC1,66.778
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,2,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,2,VALID,LOSS,0.9265271326065063
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,2,VALID,ACC1,68.05
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,3,TRAIN,LOSS,0.7064247559928895
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,3,TRAIN,ACC1,75.37
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,3,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,3,VALID,LOSS,0.865569096660614
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,3,VALID,ACC1,72.42999999999999
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,4,TRAIN,LOSS,0.59085809009552
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,4,TRAIN,ACC1,79.692
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,4,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,4,VALID,LOSS,0.6264512051582336
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,4,VALID,ACC1,78.07
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,5,TRAIN,LOSS,0.5208713223648072
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,5,TRAIN,ACC1,82.05799999999999
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,5,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,5,VALID,LOSS,0.7290548746109009
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,5,VALID,ACC1,77.25
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,6,TRAIN,LOSS,0.46542017601966856
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,6,TRAIN,ACC1,84.008
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,6,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,6,VALID,LOSS,0.5733168643951416
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,6,VALID,ACC1,80.36
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,7,TRAIN,LOSS,0.4259474287033081
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,7,TRAIN,ACC1,85.344
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,7,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,7,VALID,LOSS,0.5440080159664155
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,7,VALID,ACC1,81.92
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,8,TRAIN,LOSS,0.39538566142082215
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,8,TRAIN,ACC1,86.356
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,8,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,8,VALID,LOSS,0.6074398025512695
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,8,VALID,ACC1,81.04
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,9,TRAIN,LOSS,0.3658557304096222
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,9,TRAIN,ACC1,87.31599999999999
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,9,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,9,VALID,LOSS,0.48510017557144164
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,9,VALID,ACC1,83.52999999999999
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,10,TRAIN,LOSS,0.34240610925674436
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,10,TRAIN,ACC1,88.16
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,10,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,10,VALID,LOSS,0.4309295534610748
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,10,VALID,ACC1,86.14999999999999
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,11,TRAIN,LOSS,0.327427549905777
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,11,TRAIN,ACC1,88.77000000000001
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,11,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,11,VALID,LOSS,0.39146886787414553
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,11,VALID,ACC1,87.14999999999999
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,12,TRAIN,LOSS,0.3117132421350479
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,12,TRAIN,ACC1,89.196
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,12,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,12,VALID,LOSS,0.5064109478533267
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,12,VALID,ACC1,84.05
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,13,TRAIN,LOSS,0.2966129467105865
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,13,TRAIN,ACC1,89.818
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,13,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,13,VALID,LOSS,0.5541905263900757
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,13,VALID,ACC1,82.55
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,14,TRAIN,LOSS,0.2848554618525505
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,14,TRAIN,ACC1,90.18599999999999
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,14,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,14,VALID,LOSS,0.4065836322903633
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,14,VALID,ACC1,86.42
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,15,TRAIN,LOSS,0.27180085317134856
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,15,TRAIN,ACC1,90.628
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,15,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,15,VALID,LOSS,0.404959046792984
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,15,VALID,ACC1,87.13
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,16,TRAIN,LOSS,0.2666462087917328
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,16,TRAIN,ACC1,90.876
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,16,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,16,VALID,LOSS,0.36203626966476443
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,16,VALID,ACC1,88.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,17,TRAIN,LOSS,0.2546978333950043
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,17,TRAIN,ACC1,91.178
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,17,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,17,VALID,LOSS,0.3482967978954315
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,17,VALID,ACC1,88.75
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,18,TRAIN,LOSS,0.2470842283153534
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,18,TRAIN,ACC1,91.54599999999999
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,18,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,18,VALID,LOSS,0.5241899668693543
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,18,VALID,ACC1,83.91
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,19,TRAIN,LOSS,0.23730465368270873
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,19,TRAIN,ACC1,91.884
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,19,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,19,VALID,LOSS,0.3799993775367737
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,19,VALID,ACC1,87.65
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,20,TRAIN,LOSS,0.2359670897579193
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,20,TRAIN,ACC1,91.95400000000001
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,20,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,20,VALID,LOSS,0.41735928325653077
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,20,VALID,ACC1,86.46000000000001
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,21,TRAIN,LOSS,0.22807126370429992
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,21,TRAIN,ACC1,92.128
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,21,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0.9_nt,1,21,VALID,LOSS,0.34150657386779787
