DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,1,TRAIN,LOSS,1.8161716328811646
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,1,TRAIN,ACC1,31.401999999999997
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,1,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,1,VALID,LOSS,1.9811324634552
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,1,VALID,ACC1,31.720000000000002
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,2,TRAIN,LOSS,1.4581607618331909
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,2,TRAIN,ACC1,45.872
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,2,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,2,VALID,LOSS,2.0348925483703613
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,2,VALID,ACC1,39.92
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,3,TRAIN,LOSS,1.1882408484458924
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,3,TRAIN,ACC1,56.766000000000005
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,3,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,3,VALID,LOSS,1.3759646129608154
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,3,VALID,ACC1,53.28999999999999
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,4,TRAIN,LOSS,1.0111603300857543
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,4,TRAIN,ACC1,63.806000000000004
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,4,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,4,VALID,LOSS,1.6506026504516602
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,4,VALID,ACC1,49.38
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,5,TRAIN,LOSS,0.8772959883880616
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,5,TRAIN,ACC1,68.642
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,5,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,5,VALID,LOSS,2.126260870361328
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,5,VALID,ACC1,45.78
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,6,TRAIN,LOSS,0.7636484158229828
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,6,TRAIN,ACC1,72.83800000000001
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,6,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,6,VALID,LOSS,0.9402617537498474
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,6,VALID,ACC1,69.67999999999999
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,7,TRAIN,LOSS,0.6770339262390137
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,7,TRAIN,ACC1,76.238
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,7,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,7,VALID,LOSS,1.0660249658584595
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,7,VALID,ACC1,65.66000000000001
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,8,TRAIN,LOSS,0.614479677028656
cifar10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,8,TRAIN,ACC1,78.584
