DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,1,TRAIN,LOSS,1.485050273323059
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,1,TRAIN,ACC1,45.269999999999996
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,1,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,1,VALID,LOSS,1.5451893976211548
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,1,VALID,ACC1,51.93
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,2,TRAIN,LOSS,0.940354317817688
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,2,TRAIN,ACC1,66.562
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,2,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,2,VALID,LOSS,0.903896039390564
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,2,VALID,ACC1,68.54
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,3,TRAIN,LOSS,0.7252597973632813
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,3,TRAIN,ACC1,74.492
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,3,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,3,VALID,LOSS,0.9124981523513794
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,3,VALID,ACC1,71.71000000000001
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,4,TRAIN,LOSS,0.5958092208671569
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,4,TRAIN,ACC1,79.316
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,4,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,4,VALID,LOSS,0.592241608953476
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,4,VALID,ACC1,79.62
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,5,TRAIN,LOSS,0.5076509772491455
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,5,TRAIN,ACC1,82.514
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,5,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,5,VALID,LOSS,0.570120906496048
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,5,VALID,ACC1,81.69
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,6,TRAIN,LOSS,0.44481948033332824
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,6,TRAIN,ACC1,84.518
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,6,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,6,VALID,LOSS,0.4966023429870606
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,6,VALID,ACC1,82.98
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,7,TRAIN,LOSS,0.39904574403762816
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,7,TRAIN,ACC1,86.212
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,7,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,7,VALID,LOSS,0.4836433675289154
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,7,VALID,ACC1,84.04
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,8,TRAIN,LOSS,0.3587224948692322
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,8,TRAIN,ACC1,87.456
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,8,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,8,VALID,LOSS,0.46012828569412234
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,8,VALID,ACC1,85.0
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,9,TRAIN,LOSS,0.3216295187759399
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,9,TRAIN,ACC1,88.818
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,9,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,9,VALID,LOSS,0.4176324319839477
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,9,VALID,ACC1,86.41
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,10,TRAIN,LOSS,0.2967929787540436
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,10,TRAIN,ACC1,89.51400000000001
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,10,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,10,VALID,LOSS,0.4154705662250519
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,10,VALID,ACC1,86.72999999999999
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,11,TRAIN,LOSS,0.2704605418586731
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,11,TRAIN,ACC1,90.712
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,11,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,11,VALID,LOSS,0.3476397152900696
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,11,VALID,ACC1,88.49000000000001
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,12,TRAIN,LOSS,0.24729185785293578
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,12,TRAIN,ACC1,91.448
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,12,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,12,VALID,LOSS,0.40477346696257593
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,12,VALID,ACC1,87.52
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,13,TRAIN,LOSS,0.23146911365032197
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,13,TRAIN,ACC1,91.922
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,13,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,13,VALID,LOSS,0.39069691121578215
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,13,VALID,ACC1,87.94999999999999
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,14,TRAIN,LOSS,0.2119757856464386
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,14,TRAIN,ACC1,92.548
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,14,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,14,VALID,LOSS,0.36173721782565116
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,14,VALID,ACC1,88.97
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,15,TRAIN,LOSS,0.19714649120002986
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,15,TRAIN,ACC1,93.016
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,15,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,15,VALID,LOSS,0.3273080316066742
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,15,VALID,ACC1,90.01
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,16,TRAIN,LOSS,0.1797954109120369
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,16,TRAIN,ACC1,93.628
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,16,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,16,VALID,LOSS,0.3432083197593689
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,16,VALID,ACC1,89.48
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,17,TRAIN,LOSS,0.16592682750463486
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,17,TRAIN,ACC1,94.102
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,17,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,17,VALID,LOSS,0.3317782648086548
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,17,VALID,ACC1,89.95
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,18,TRAIN,LOSS,0.15285314668893815
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,18,TRAIN,ACC1,94.626
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,18,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,18,VALID,LOSS,0.3303852167010307
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,18,VALID,ACC1,89.88000000000001
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,19,TRAIN,LOSS,0.13870897807121277
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,19,TRAIN,ACC1,95.204
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,19,HYPER,LR,0.1
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,19,VALID,LOSS,0.35580627648830415
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,19,VALID,ACC1,89.59
cifar10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,20,TRAIN,LOSS,0.13361182171940802
