DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,1.566051640739441
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,42.15
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,1.2456236755371093
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,56.36
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,1.0108406182479859
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,63.837999999999994
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,0.9722842053413391
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,65.99999999999999
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,0.773867106628418
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,72.83
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,0.7955100017547607
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,73.85999999999999
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,0.6348032521438599
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,77.98
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,0.6738171145439148
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,77.01
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,0.5561430917549133
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,80.788
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.10009999123575256
