DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,1.492638597984314
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,45.07600000000001
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,1.7217693559646607
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,49.050000000000004
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,0.937613341293335
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,66.722
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,1.0110678364753722
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,65.58
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,0.7200979242897033
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,74.806
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,1.016913374900818
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,69.6
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,0.5985083953475953
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,79.324
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,4,VALID,LOSS,0.6417126497268677
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,4,VALID,ACC1,78.41
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,5,TRAIN,LOSS,0.5275590811729431
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,5,TRAIN,ACC1,81.928
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,5,HYPER,LR,0.10009999123575256
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,5,VALID,LOSS,0.6689541477203369
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,5,VALID,ACC1,78.95
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,6,TRAIN,LOSS,0.4720070624637604
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,6,TRAIN,ACC1,83.712
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,6,HYPER,LR,0.10009998874648379
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,6,VALID,LOSS,0.4693946544647217
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,6,VALID,ACC1,83.7
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,7,TRAIN,LOSS,0.42664140382766724
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,7,TRAIN,ACC1,85.27799999999999
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,7,HYPER,LR,0.10009998555019961
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,7,VALID,LOSS,0.5565468400001526
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,7,VALID,ACC1,81.71
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,8,TRAIN,LOSS,0.3987646483898163
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,8,TRAIN,ACC1,86.226
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,8,HYPER,LR,0.10009998144608981
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,8,VALID,LOSS,0.5383166036605835
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,8,VALID,ACC1,82.34
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,9,TRAIN,LOSS,0.36679918302536013
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,9,TRAIN,ACC1,87.354
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,9,HYPER,LR,0.100099976176309
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,9,VALID,LOSS,0.4627345555305481
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,9,VALID,ACC1,84.92
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,10,TRAIN,LOSS,0.3474826179409027
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,10,TRAIN,ACC1,88.0
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,10,HYPER,LR,0.1000999694097773
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,10,VALID,LOSS,0.42587552871704104
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,10,VALID,ACC1,85.57000000000001
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,11,TRAIN,LOSS,0.3271201720094681
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,11,TRAIN,ACC1,88.78
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,11,HYPER,LR,0.10009996072137997
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,11,VALID,LOSS,0.40850443539619447
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,11,VALID,ACC1,86.25
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,12,TRAIN,LOSS,0.30853978010177613
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,12,TRAIN,ACC1,89.46000000000001
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,12,HYPER,LR,0.1000999495652592
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,12,VALID,LOSS,0.46532520598173144
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,12,VALID,ACC1,85.13
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,13,TRAIN,LOSS,0.3033051184940338
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,13,TRAIN,ACC1,89.554
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,13,HYPER,LR,0.10009993524052017
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0.9_nt_a25_b0.7,1,13,VALID,LOSS,0.452694234085083
