DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,1,TRAIN,LOSS,1.821881071472168
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,1,TRAIN,ACC1,31.042
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,1,VALID,LOSS,2.2022440475463867
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,1,VALID,ACC1,30.23
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,2,TRAIN,LOSS,1.468211841545105
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,2,TRAIN,ACC1,45.504
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,2,VALID,LOSS,3.0545139362335205
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,2,VALID,ACC1,34.27
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,3,TRAIN,LOSS,1.2003470558547973
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,3,TRAIN,ACC1,56.324
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,3,VALID,LOSS,1.5825645950317382
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,3,VALID,ACC1,48.62
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,4,TRAIN,LOSS,1.0181097177314757
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,4,TRAIN,ACC1,63.382000000000005
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,4,VALID,LOSS,1.271571492576599
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,4,VALID,ACC1,56.25
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,5,TRAIN,LOSS,0.8731376453781128
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,5,TRAIN,ACC1,68.726
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,5,HYPER,LR,0.10009999123575256
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,5,VALID,LOSS,2.2366710010528563
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,5,VALID,ACC1,45.96
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,6,TRAIN,LOSS,0.7595080673599243
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,6,TRAIN,ACC1,73.25
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,6,HYPER,LR,0.10009998874648379
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,6,VALID,LOSS,1.0404556758880614
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,6,VALID,ACC1,66.83
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,7,TRAIN,LOSS,0.6708123237609863
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,7,TRAIN,ACC1,76.39
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,7,HYPER,LR,0.10009998555019961
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,7,VALID,LOSS,1.2512683010101318
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,7,VALID,ACC1,63.17999999999999
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,8,TRAIN,LOSS,0.6049634413909912
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,8,TRAIN,ACC1,78.948
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,8,HYPER,LR,0.10009998144608981
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,8,VALID,LOSS,1.1467690358161926
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,8,VALID,ACC1,67.35
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,9,TRAIN,LOSS,0.5473743390083313
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,9,TRAIN,ACC1,80.926
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,9,HYPER,LR,0.100099976176309
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,9,VALID,LOSS,1.1152544925689698
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,9,VALID,ACC1,66.9
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,10,TRAIN,LOSS,0.5040606752586365
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,10,TRAIN,ACC1,82.72800000000001
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,10,HYPER,LR,0.1000999694097773
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,10,VALID,LOSS,0.880901673412323
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,10,VALID,ACC1,73.33000000000001
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,11,TRAIN,LOSS,0.46304615305900576
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,11,TRAIN,ACC1,83.938
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,11,HYPER,LR,0.10009996072137997
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,11,VALID,LOSS,0.6439840190887451
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,11,VALID,ACC1,78.58000000000001
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,12,TRAIN,LOSS,0.43065075793266294
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,12,TRAIN,ACC1,85.124
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,12,HYPER,LR,0.1000999495652592
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,12,VALID,LOSS,0.7192933084487915
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,12,VALID,ACC1,78.66
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,13,TRAIN,LOSS,0.402159013633728
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,13,TRAIN,ACC1,86.17
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,13,HYPER,LR,0.10009993524052017
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,13,VALID,LOSS,1.234834331703186
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,13,VALID,ACC1,68.49000000000001
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,14,TRAIN,LOSS,0.3742060113334656
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,14,TRAIN,ACC1,86.97399999999999
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,14,HYPER,LR,0.10009991684719721
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,14,VALID,LOSS,0.6922383150100708
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,14,VALID,ACC1,79.07
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,15,TRAIN,LOSS,0.3510767381191254
cifar10,resnet34,taso_l0.1_e100_w0.0001_m0_nf_a25_b0.7,1,15,TRAIN,ACC1,87.894
