DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,1.56448358795166
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,42.456
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,1.2191786804199218
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,57.269999999999996
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,1.0179581745147706
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,63.538000000000004
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,0.9561222020149232
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,66.55
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,0.7819168111419678
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,72.316
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,0.8053789463043213
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,73.48
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,0.630191989402771
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,78.082
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,0.6349677067756653
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,78.11
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,0.5381943387413025
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,81.296
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.10009999123575256
