DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,1.4897028662872314
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,45.24399999999999
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,1.7425051811218262
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,44.92
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,0.9597278452682495
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,65.87
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,1.310731365776062
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,60.36
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,0.7343261548423767
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,74.112
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,0.936091415977478
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,71.08
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,0.6006297756576539
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,79.13
cifar10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
