DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,1,TRAIN,LOSS,1.8169058163452148
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,1,TRAIN,ACC1,31.259999999999998
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,1,VALID,LOSS,2.366806229400635
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,1,VALID,ACC1,26.559999999999995
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,2,TRAIN,LOSS,1.4633343461990356
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,2,TRAIN,ACC1,45.809999999999995
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,2,VALID,LOSS,2.4675651973724366
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,2,VALID,ACC1,35.050000000000004
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,3,TRAIN,LOSS,1.200285975151062
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,3,TRAIN,ACC1,56.35
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,3,VALID,LOSS,1.5293647844314575
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,3,VALID,ACC1,50.39
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,4,TRAIN,LOSS,1.0176421016693116
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,4,TRAIN,ACC1,63.37200000000001
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,4,VALID,LOSS,1.7529021922111512
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,4,VALID,ACC1,49.08
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,5,TRAIN,LOSS,0.8783596726226807
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,5,TRAIN,ACC1,68.698
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,5,HYPER,LR,0.10009999123575256
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,5,VALID,LOSS,1.911020530128479
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,5,VALID,ACC1,49.28
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,6,TRAIN,LOSS,0.7669892729663849
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,6,TRAIN,ACC1,72.81599999999999
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,6,HYPER,LR,0.10009998874648379
cifar10,resnet34,taso_l0.1_e100_w0_m0_nf_a25_b0.7,1,6,VALID,LOSS,1.0408499528884887
