DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,TRAIN,LOSS,2.1567483551025393
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,TRAIN,ACC1,19.720000000000006
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,HYPER,LR,0.01
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,VALID,LOSS,2.0276599950790404
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,VALID,ACC1,23.012500000000003
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,TRAIN,LOSS,1.9989290811538696
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,TRAIN,ACC1,25.319999999999997
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,HYPER,LR,0.01
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,VALID,LOSS,1.992341113090515
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,VALID,ACC1,24.324999999999996
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,TRAIN,LOSS,1.9364926544189454
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,TRAIN,ACC1,28.059999999999995
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,HYPER,LR,0.01
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,VALID,LOSS,1.894575545310974
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,VALID,ACC1,27.025
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,TRAIN,LOSS,1.895715732383728
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,TRAIN,ACC1,28.62
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,HYPER,LR,0.01
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,VALID,LOSS,1.8689312496185302
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,VALID,ACC1,28.937500000000004
