DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,TRAIN,LOSS,1.896747576904297
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,TRAIN,ACC1,27.700000000000003
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,HYPER,LR,0.01
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,VALID,LOSS,2.6860719470977785
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,VALID,ACC1,21.887500000000003
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,TRAIN,LOSS,1.6491501768112182
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,TRAIN,ACC1,34.86
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,HYPER,LR,0.01
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,VALID,LOSS,2.0390367727279664
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,VALID,ACC1,25.5
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,TRAIN,LOSS,1.5664903415679932
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,TRAIN,ACC1,40.44
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,HYPER,LR,0.01
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,VALID,LOSS,1.8305799360275268
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,VALID,ACC1,34.112500000000004
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,TRAIN,LOSS,1.490031171989441
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,TRAIN,ACC1,43.42
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,HYPER,LR,0.01
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,VALID,LOSS,1.7226078939437866
stl10,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,VALID,ACC1,37.5875
