DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.8710726188659668
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,29.059999999999995
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,1,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,1,VALID,LOSS,1.683965570449829
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,1,VALID,ACC1,35.8375
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.6410974170684813
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,35.260000000000005
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,2,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,2,VALID,LOSS,1.5635986070632935
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,2,VALID,ACC1,39.7
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,1.554921648979187
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,41.24
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,3,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,3,VALID,LOSS,1.5512867918014526
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,3,VALID,ACC1,40.1125
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,1.5175439476013184
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,42.14
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,4,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,4,VALID,LOSS,1.5176006984710693
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,4,VALID,ACC1,43.025000000000006
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,1.4305738918304443
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,45.52
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,5,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,5,VALID,LOSS,1.427673975944519
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,5,VALID,ACC1,46.2375
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,1.372097025489807
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,48.31999999999999
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,6,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,6,VALID,LOSS,1.4475585250854492
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,6,VALID,ACC1,46.2125
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,LOSS,1.3156627586364746
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,ACC1,50.62
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,7,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,7,VALID,LOSS,1.4472076330184938
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,7,VALID,ACC1,47.5375
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,LOSS,1.2824902795791626
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,ACC1,52.12
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,8,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,8,VALID,LOSS,1.2923463802337647
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,8,VALID,ACC1,51.287499999999994
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,LOSS,1.2552748237609863
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,ACC1,52.96000000000001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,9,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,9,VALID,LOSS,1.3295284948349
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,9,VALID,ACC1,51.337500000000006
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,10,TRAIN,LOSS,1.2147689514160156
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,10,TRAIN,ACC1,54.67999999999999
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,10,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,10,VALID,LOSS,1.319912145614624
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,10,VALID,ACC1,50.57499999999999
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,11,TRAIN,LOSS,1.1616127517700194
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,11,TRAIN,ACC1,57.06
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,11,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,11,VALID,LOSS,1.4757578458786011
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,11,VALID,ACC1,50.237500000000004
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,12,TRAIN,LOSS,1.1394387113571167
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,12,TRAIN,ACC1,58.099999999999994
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,12,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,12,VALID,LOSS,1.3418958678245545
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,12,VALID,ACC1,51.550000000000004
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,13,TRAIN,LOSS,1.083429316329956
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,13,TRAIN,ACC1,58.71999999999999
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,13,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,13,VALID,LOSS,1.1710251688957214
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,13,VALID,ACC1,57.7625
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,14,TRAIN,LOSS,1.0886994396209717
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,14,TRAIN,ACC1,60.160000000000004
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,14,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,14,VALID,LOSS,1.2267482104301453
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,14,VALID,ACC1,57.62499999999999
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,15,TRAIN,LOSS,1.0511470695495606
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,15,TRAIN,ACC1,60.980000000000004
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,15,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,15,VALID,LOSS,1.185043809890747
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,15,VALID,ACC1,57.56250000000001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,16,TRAIN,LOSS,1.0386457462310792
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,16,TRAIN,ACC1,61.28
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,16,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,16,VALID,LOSS,1.1879143772125245
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,16,VALID,ACC1,57.775
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,17,TRAIN,LOSS,0.9983894554138184
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,17,TRAIN,ACC1,62.660000000000004
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,17,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,17,VALID,LOSS,1.1075344309806823
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,17,VALID,ACC1,61.1
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,18,TRAIN,LOSS,0.9648712142944336
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,18,TRAIN,ACC1,64.84
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,18,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,18,VALID,LOSS,1.3442795515060424
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,18,VALID,ACC1,55.512499999999996
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,19,TRAIN,LOSS,0.9297676824569702
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,19,TRAIN,ACC1,65.9
stl10,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,19,HYPER,LR,0.001
