DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.8715755874633788
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,29.259999999999998
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,1,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,1,VALID,LOSS,1.6818524513244628
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,1,VALID,ACC1,36.3
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.6393794483184814
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,35.540000000000006
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,2,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,2,VALID,LOSS,1.5613319215774537
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,2,VALID,ACC1,39.6
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,1.5540053190231322
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,41.080000000000005
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,3,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,3,VALID,LOSS,1.5305153579711914
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,3,VALID,ACC1,40.6
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,1.5133121129989624
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,42.84
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,4,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,4,VALID,LOSS,1.528868468284607
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,4,VALID,ACC1,42.449999999999996
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,1.4246231060028076
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,46.4
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,5,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,5,VALID,LOSS,1.4189798011779786
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,5,VALID,ACC1,46.68750000000001
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,1.3720639183044434
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,48.62
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,6,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,6,VALID,LOSS,1.4594366331100463
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,6,VALID,ACC1,45.8
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,7,TRAIN,LOSS,1.3134141887664794
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,7,TRAIN,ACC1,50.85999999999999
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,7,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,7,VALID,LOSS,1.4483473491668701
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,7,VALID,ACC1,47.3625
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,8,TRAIN,LOSS,1.2811784063339233
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,8,TRAIN,ACC1,52.78
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,8,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,8,VALID,LOSS,1.26854904460907
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,8,VALID,ACC1,52.125
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,9,TRAIN,LOSS,1.255439748764038
stl10,resnet34,adam_l0.001_e100_w0.0001_at_bf0.9_bs0.99,1,9,TRAIN,ACC1,52.32
