DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.864751523590088
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,29.059999999999995
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,VALID,LOSS,1.6694717416763305
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,1,VALID,ACC1,36.3125
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.623659748840332
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,35.9
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,VALID,LOSS,1.5425243701934814
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,2,VALID,ACC1,40.675
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,1.5252404346466064
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,42.400000000000006
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,VALID,LOSS,1.5174536800384522
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,3,VALID,ACC1,42.175
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,1.4790542934417725
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,43.60000000000001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,VALID,LOSS,1.4620628805160523
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,4,VALID,ACC1,44.725
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,1.3823508155822755
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,47.56
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,VALID,LOSS,1.4115512456893922
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,5,VALID,ACC1,48.199999999999996
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,1.3155200206756592
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,50.74000000000001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,6,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,6,VALID,LOSS,1.3740672616958618
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,6,VALID,ACC1,48.68749999999999
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,7,TRAIN,LOSS,1.2695246717453004
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,7,TRAIN,ACC1,52.54
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,7,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,7,VALID,LOSS,1.3584281854629516
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,7,VALID,ACC1,50.824999999999996
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,8,TRAIN,LOSS,1.2251226411819458
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,8,TRAIN,ACC1,54.78000000000001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,8,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,8,VALID,LOSS,1.2835289797782898
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,8,VALID,ACC1,52.825
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,9,TRAIN,LOSS,1.2005139289855957
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,9,TRAIN,ACC1,55.32
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,9,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,9,VALID,LOSS,1.2394205050468445
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,9,VALID,ACC1,55.47500000000001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,10,TRAIN,LOSS,1.1574164313316346
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,10,TRAIN,ACC1,56.49999999999999
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,10,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,10,VALID,LOSS,1.237901286125183
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,10,VALID,ACC1,55.025
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,11,TRAIN,LOSS,1.0836260801315307
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,11,TRAIN,ACC1,60.12
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,11,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,11,VALID,LOSS,1.2544503469467163
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,11,VALID,ACC1,56.925000000000004
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,12,TRAIN,LOSS,1.0659078939437867
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,12,TRAIN,ACC1,60.68
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,12,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,12,VALID,LOSS,1.2119421048164367
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,12,VALID,ACC1,56.49999999999999
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,13,TRAIN,LOSS,0.9987741386413574
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,13,TRAIN,ACC1,62.86000000000001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,13,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,13,VALID,LOSS,1.1532368650436402
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,13,VALID,ACC1,59.362500000000004
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,14,TRAIN,LOSS,1.0005113111495971
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,14,TRAIN,ACC1,63.28
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,14,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,14,VALID,LOSS,1.109608464717865
stl10,resnet34,adam_l0.001_e100_w0_af_bf0.9_bs0.99,1,14,VALID,ACC1,61.32500000000001
