DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.864315493774414
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,1,TRAIN,ACC1,28.900000000000002
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,1,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,1,VALID,LOSS,1.6632456398010254
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,1,VALID,ACC1,36.2375
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,2,TRAIN,LOSS,1.6242169166564941
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,2,TRAIN,ACC1,36.199999999999996
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,2,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,2,VALID,LOSS,1.5530824747085572
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,2,VALID,ACC1,39.949999999999996
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,3,TRAIN,LOSS,1.5271441133499146
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,3,TRAIN,ACC1,41.959999999999994
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,3,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,3,VALID,LOSS,1.5058364534378053
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,3,VALID,ACC1,42.65
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,4,TRAIN,LOSS,1.4753632844924927
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,4,TRAIN,ACC1,44.440000000000005
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,4,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,4,VALID,LOSS,1.4573107271194459
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,4,VALID,ACC1,44.925000000000004
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,5,TRAIN,LOSS,1.3797355611801148
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,5,TRAIN,ACC1,48.31999999999999
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,5,HYPER,LR,0.001
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,5,VALID,LOSS,1.3893288049697876
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,5,VALID,ACC1,48.675000000000004
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,6,TRAIN,LOSS,1.3101534336090088
stl10,resnet34,adam_l0.001_e100_w0_at_bf0.9_bs0.99,1,6,TRAIN,ACC1,51.459999999999994
