DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,1,TRAIN,LOSS,4.52256552658081
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,1,TRAIN,ACC1,12.2
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,1,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,1,VALID,LOSS,2.521567070007324
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,1,VALID,ACC1,10.624999999999996
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,2,TRAIN,LOSS,2.125944120025635
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,2,TRAIN,ACC1,19.499999999999996
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,2,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,2,VALID,LOSS,43.18902740478516
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,2,VALID,ACC1,9.999999999999998
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,3,TRAIN,LOSS,2.053780115509033
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,3,TRAIN,ACC1,20.840000000000003
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,3,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,3,VALID,LOSS,2.3930840606689454
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,3,VALID,ACC1,21.475
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,4,TRAIN,LOSS,2.0073387744903566
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,4,TRAIN,ACC1,22.619999999999997
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,4,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0.9_cf_a0.99,1,4,VALID,LOSS,6.928961597442627
