DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,1,TRAIN,LOSS,2.59736828994751
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,1,TRAIN,ACC1,18.120000000000005
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,1,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,1,VALID,LOSS,3.278686449050903
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,1,VALID,ACC1,21.087500000000002
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,2,TRAIN,LOSS,1.9244470922470094
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,2,TRAIN,ACC1,25.080000000000002
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,2,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,2,VALID,LOSS,3.0111384105682375
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,2,VALID,ACC1,13.700000000000001
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,3,TRAIN,LOSS,1.8461582849502562
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,3,TRAIN,ACC1,28.04
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,3,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,3,VALID,LOSS,3.110234498977661
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,3,VALID,ACC1,15.787499999999998
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,4,TRAIN,LOSS,1.773097557067871
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,4,TRAIN,ACC1,30.94
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,4,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,4,VALID,LOSS,3.4891014442443846
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,4,VALID,ACC1,21.225000000000005
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,5,TRAIN,LOSS,1.695953190612793
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,5,TRAIN,ACC1,33.96
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,5,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,5,VALID,LOSS,3.514593780517578
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,5,VALID,ACC1,23.787499999999994
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,6,TRAIN,LOSS,1.6716928888320923
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,6,TRAIN,ACC1,35.0
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,6,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,6,VALID,LOSS,4.548187562942505
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,6,VALID,ACC1,21.175
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,7,TRAIN,LOSS,1.619957781791687
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,7,TRAIN,ACC1,36.660000000000004
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,7,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,7,VALID,LOSS,3.506537790298462
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,7,VALID,ACC1,21.862499999999997
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,8,TRAIN,LOSS,1.5896560264587403
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,8,TRAIN,ACC1,39.54
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,8,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,8,VALID,LOSS,2.4459670686721804
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,8,VALID,ACC1,16.274999999999995
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,9,TRAIN,LOSS,1.55390336227417
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,9,TRAIN,ACC1,40.400000000000006
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,9,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,9,VALID,LOSS,4.185260192871094
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,9,VALID,ACC1,12.2375
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,10,TRAIN,LOSS,1.529589627456665
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,10,TRAIN,ACC1,42.14
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,10,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,10,VALID,LOSS,1.8325201892852783
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,10,VALID,ACC1,37.0875
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,11,TRAIN,LOSS,1.4768618404388427
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,11,TRAIN,ACC1,43.50000000000001
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,11,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,11,VALID,LOSS,6.528839744567871
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,11,VALID,ACC1,20.725000000000005
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,12,TRAIN,LOSS,1.4498658590316773
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,12,TRAIN,ACC1,45.14
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,12,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,12,VALID,LOSS,4.463918792724609
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,12,VALID,ACC1,17.2125
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,13,TRAIN,LOSS,1.4253519775390624
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,13,TRAIN,ACC1,46.08
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,13,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,13,VALID,LOSS,3.8493277740478518
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,13,VALID,ACC1,18.600000000000005
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,14,TRAIN,LOSS,1.397546249961853
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,14,TRAIN,ACC1,47.099999999999994
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,14,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,14,VALID,LOSS,10.822691146850586
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,14,VALID,ACC1,14.9625
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,15,TRAIN,LOSS,1.3586320343017577
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,15,TRAIN,ACC1,49.1
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,15,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,15,VALID,LOSS,3.7207196559906004
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,15,VALID,ACC1,26.212500000000006
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,16,TRAIN,LOSS,1.341108483695984
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,16,TRAIN,ACC1,49.160000000000004
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,16,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,16,VALID,LOSS,2.37599213886261
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,16,VALID,ACC1,27.837500000000006
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,17,TRAIN,LOSS,1.3027188400268555
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,17,TRAIN,ACC1,51.059999999999995
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,17,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,17,VALID,LOSS,3.0524943866729735
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,17,VALID,ACC1,25.375000000000004
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,18,TRAIN,LOSS,1.285639501953125
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,18,TRAIN,ACC1,52.22
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,18,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,18,VALID,LOSS,18.51629054260254
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,18,VALID,ACC1,13.387499999999996
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,19,TRAIN,LOSS,1.2588392555236816
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,19,TRAIN,ACC1,52.800000000000004
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,19,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,19,VALID,LOSS,3.6958816394805907
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,19,VALID,ACC1,22.037499999999998
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,20,TRAIN,LOSS,1.2486215339660645
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,20,TRAIN,ACC1,53.49999999999999
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,20,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,20,VALID,LOSS,2.6665481986999513
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,20,VALID,ACC1,24.612500000000004
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,21,TRAIN,LOSS,1.2165070375442504
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,21,TRAIN,ACC1,54.800000000000004
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,21,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,21,VALID,LOSS,5.346612071990966
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,21,VALID,ACC1,14.449999999999996
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,22,TRAIN,LOSS,1.2240597076416015
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,22,TRAIN,ACC1,54.36000000000001
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,22,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,22,VALID,LOSS,3.0998013191223146
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,22,VALID,ACC1,30.625000000000004
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_cf_a0.99,1,23,TRAIN,LOSS,1.183497867012024
