DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,1,TRAIN,LOSS,2.563950798034668
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,1,TRAIN,ACC1,19.259999999999998
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,1,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,1,VALID,LOSS,6.802486040115356
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,1,VALID,ACC1,16.637500000000006
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,2,TRAIN,LOSS,1.91780495967865
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,2,TRAIN,ACC1,25.019999999999996
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,2,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,2,VALID,LOSS,3.5446599349975587
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,2,VALID,ACC1,12.275000000000002
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,3,TRAIN,LOSS,1.8342230293273927
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,3,TRAIN,ACC1,28.580000000000005
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,3,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,3,VALID,LOSS,2.8327406253814695
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,3,VALID,ACC1,16.65
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,4,TRAIN,LOSS,1.753517692565918
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,4,TRAIN,ACC1,31.08
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,4,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,4,VALID,LOSS,2.045288568496704
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,4,VALID,ACC1,27.075000000000003
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,5,TRAIN,LOSS,1.6925903991699218
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,5,TRAIN,ACC1,33.699999999999996
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,5,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,5,VALID,LOSS,2.6048257112503053
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,5,VALID,ACC1,19.950000000000003
stl10,resnet34,rmsprop_l0.01_e100_w0.0001_m0_ct_a0.99,1,6,TRAIN,LOSS,1.6590497528076171
