DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,TRAIN,LOSS,4.366487813568115
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,TRAIN,ACC1,13.959999999999994
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,VALID,LOSS,4.227481384277343
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,1,VALID,ACC1,14.449999999999996
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,TRAIN,LOSS,2.1106432651519778
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,TRAIN,ACC1,19.479999999999997
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,VALID,LOSS,2.075115798950195
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,2,VALID,ACC1,23.562499999999996
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,TRAIN,LOSS,2.033252233505249
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,TRAIN,ACC1,22.319999999999997
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,VALID,LOSS,2.0719371662139894
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,3,VALID,ACC1,20.499999999999996
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,4,TRAIN,LOSS,1.9275950744628907
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,4,TRAIN,ACC1,27.52
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,4,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,4,VALID,LOSS,2.4679960107803343
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,4,VALID,ACC1,24.637500000000003
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,5,TRAIN,LOSS,1.8503102321624756
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,5,TRAIN,ACC1,29.24
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,5,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,5,VALID,LOSS,1.8863735284805299
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,5,VALID,ACC1,28.737500000000004
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,6,TRAIN,LOSS,1.8176085912704467
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,6,TRAIN,ACC1,30.679999999999996
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,6,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,6,VALID,LOSS,1.9360608367919923
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,6,VALID,ACC1,28.6
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,7,TRAIN,LOSS,1.7968835624694823
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,7,TRAIN,ACC1,30.759999999999998
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,7,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,7,VALID,LOSS,2.283828783035278
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,7,VALID,ACC1,26.137500000000003
stl10,resnet34,rmsprop_l0.01_e100_w0_m0.9_ct_a0.99,1,8,TRAIN,LOSS,1.7687621953964234
