DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,1,TRAIN,LOSS,2.558121223449707
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,1,TRAIN,ACC1,19.540000000000003
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,1,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,1,VALID,LOSS,2.425104127883911
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,1,VALID,ACC1,21.037499999999998
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,2,TRAIN,LOSS,1.846812684059143
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,2,TRAIN,ACC1,27.54
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,2,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,2,VALID,LOSS,2.874265230178833
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,2,VALID,ACC1,16.1875
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,3,TRAIN,LOSS,1.722108536720276
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,3,TRAIN,ACC1,32.76
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,3,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,3,VALID,LOSS,2.3966196670532227
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,3,VALID,ACC1,19.174999999999997
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,4,TRAIN,LOSS,1.6671138175964355
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,4,TRAIN,ACC1,36.3
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,4,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,4,VALID,LOSS,2.5781228408813477
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,4,VALID,ACC1,23.175
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,5,TRAIN,LOSS,1.590048104095459
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,5,TRAIN,ACC1,39.300000000000004
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,5,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,5,VALID,LOSS,2.1054543743133545
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,5,VALID,ACC1,28.325
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,6,TRAIN,LOSS,1.5482721040725709
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,6,TRAIN,ACC1,40.32
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,6,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,6,VALID,LOSS,2.9832755260467527
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,6,VALID,ACC1,29.774999999999995
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,7,TRAIN,LOSS,1.4932531328201295
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,7,TRAIN,ACC1,42.6
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,7,HYPER,LR,0.01
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,7,VALID,LOSS,3.131163995742798
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,7,VALID,ACC1,23.375
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,8,TRAIN,LOSS,1.4632224102020264
stl10,resnet34,rmsprop_l0.01_e100_w0_m0_cf_a0.99,1,8,TRAIN,ACC1,45.36
