DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,1,TRAIN,LOSS,2.085613510131836
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,1,TRAIN,ACC1,21.099999999999998
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,1,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,1,VALID,LOSS,2.254629264831543
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,1,VALID,ACC1,19.525000000000002
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,2,TRAIN,LOSS,1.9263789520263672
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,2,TRAIN,ACC1,25.7
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,2,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,2,VALID,LOSS,2.5298089084625244
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,2,VALID,ACC1,18.225
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,3,TRAIN,LOSS,1.8596087329864501
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,3,TRAIN,ACC1,29.439999999999998
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,3,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,3,VALID,LOSS,2.201476774215698
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,3,VALID,ACC1,22.650000000000002
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,4,TRAIN,LOSS,1.7737041526794433
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,4,TRAIN,ACC1,31.34
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,4,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,4,VALID,LOSS,1.9224983797073365
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,4,VALID,ACC1,28.962500000000002
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,5,TRAIN,LOSS,1.7049820056915284
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,5,TRAIN,ACC1,33.96
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,5,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,5,VALID,LOSS,3.4003250961303713
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,5,VALID,ACC1,17.862500000000004
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,6,TRAIN,LOSS,1.6822203105926514
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,6,TRAIN,ACC1,34.36
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,6,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,6,VALID,LOSS,2.0083484420776365
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,6,VALID,ACC1,26.237500000000004
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,7,TRAIN,LOSS,1.637558306503296
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,7,TRAIN,ACC1,35.88
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,7,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,7,VALID,LOSS,2.266175537109375
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,7,VALID,ACC1,24.750000000000007
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,8,TRAIN,LOSS,1.6254367433547974
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,8,TRAIN,ACC1,37.4
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,8,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,8,VALID,LOSS,2.2286775217056274
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,8,VALID,ACC1,21.387500000000003
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,9,TRAIN,LOSS,1.5992634384155273
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,9,TRAIN,ACC1,38.3
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,9,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,9,VALID,LOSS,3.064466833114624
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,9,VALID,ACC1,15.000000000000002
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,10,TRAIN,LOSS,1.5524680011749268
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,10,TRAIN,ACC1,40.0
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,10,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,10,VALID,LOSS,2.307493693351746
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,10,VALID,ACC1,32.125
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,11,TRAIN,LOSS,1.521306046295166
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,11,TRAIN,ACC1,41.800000000000004
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,11,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,11,VALID,LOSS,2.331522300720215
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,11,VALID,ACC1,29.062500000000004
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,12,TRAIN,LOSS,1.4949078001022338
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,12,TRAIN,ACC1,42.14
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,12,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,12,VALID,LOSS,1.9770284595489502
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,12,VALID,ACC1,33.3875
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,13,TRAIN,LOSS,1.4722027256011962
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,13,TRAIN,ACC1,43.720000000000006
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,13,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,13,VALID,LOSS,2.2969827709198
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,13,VALID,ACC1,25.387499999999996
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,14,TRAIN,LOSS,1.4446248355865479
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,14,TRAIN,ACC1,45.42
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,14,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,14,VALID,LOSS,1.8675521965026856
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,14,VALID,ACC1,37.612500000000004
stl10,resnet34,sgd_l0.1_e100_w0.0001_m0_nf,1,15,TRAIN,LOSS,1.4185592544555663
