DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,1,TRAIN,LOSS,2.0445382381439208
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,1,TRAIN,ACC1,24.3
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,1,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,1,VALID,LOSS,3.467721826553345
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,1,VALID,ACC1,21.299999999999997
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,2,TRAIN,LOSS,1.7437996938705445
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,2,TRAIN,ACC1,32.34
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,2,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,2,VALID,LOSS,2.208981279373169
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,2,VALID,ACC1,25.337500000000002
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,3,TRAIN,LOSS,1.628251117324829
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,3,TRAIN,ACC1,37.44
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,3,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,3,VALID,LOSS,1.6473142309188842
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,3,VALID,ACC1,33.8875
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,4,TRAIN,LOSS,1.544149365234375
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,4,TRAIN,ACC1,40.480000000000004
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,4,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,4,VALID,LOSS,1.5118622951507568
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,4,VALID,ACC1,43.05
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,5,TRAIN,LOSS,1.4468444343566895
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,5,TRAIN,ACC1,45.3
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,5,HYPER,LR,0.1
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,5,VALID,LOSS,1.5354900493621826
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,5,VALID,ACC1,43.8375
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,6,TRAIN,LOSS,1.3778348922729493
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,6,TRAIN,ACC1,48.88
stl10,resnet34,sgd_l0.1_e100_w0_m0.9_nt,1,6,HYPER,LR,0.1
