DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,TRAIN,LOSS,2.1396199596405028
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,TRAIN,ACC1,21.98
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,VALID,LOSS,2.23744695854187
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,1,VALID,ACC1,26.437500000000004
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,TRAIN,LOSS,1.7773435344696045
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,TRAIN,ACC1,30.459999999999997
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,VALID,LOSS,2.148654640197754
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,2,VALID,ACC1,25.837500000000002
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,TRAIN,LOSS,1.6691872169494628
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,TRAIN,ACC1,35.099999999999994
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,VALID,LOSS,1.614646032333374
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,3,VALID,ACC1,36.775000000000006
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,TRAIN,LOSS,1.5929373197555543
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,TRAIN,ACC1,39.1
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,VALID,LOSS,1.5562689332962036
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,4,VALID,ACC1,40.0625
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,5,TRAIN,LOSS,1.4972748552322388
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,5,TRAIN,ACC1,42.779999999999994
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,5,HYPER,LR,0.10009999123575256
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,5,VALID,LOSS,1.4963953351974488
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,5,VALID,ACC1,44.2125
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,6,TRAIN,LOSS,1.424105855178833
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,6,TRAIN,ACC1,45.699999999999996
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,6,HYPER,LR,0.10009998874648379
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,6,VALID,LOSS,1.5007279777526856
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,6,VALID,ACC1,44.9125
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,7,TRAIN,LOSS,1.3831638387680054
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,7,TRAIN,ACC1,47.64000000000001
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,7,HYPER,LR,0.10009998555019961
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,7,VALID,LOSS,1.5390316524505616
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,7,VALID,ACC1,45.9
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,8,TRAIN,LOSS,1.3528489601135254
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,8,TRAIN,ACC1,50.32
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,8,HYPER,LR,0.10009998144608981
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,8,VALID,LOSS,1.3394829668998718
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,8,VALID,ACC1,50.4
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,9,TRAIN,LOSS,1.288183360671997
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,9,TRAIN,ACC1,52.44
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,9,HYPER,LR,0.100099976176309
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,9,VALID,LOSS,1.3535600662231446
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,9,VALID,ACC1,50.6
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,10,TRAIN,LOSS,1.2548677549362182
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,10,TRAIN,ACC1,53.78000000000001
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,10,HYPER,LR,0.1000999694097773
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,10,VALID,LOSS,1.3408023867607117
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,10,VALID,ACC1,50.887499999999996
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,11,TRAIN,LOSS,1.1609687984466552
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,11,TRAIN,ACC1,56.879999999999995
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,11,HYPER,LR,0.10009996072137997
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nf_a25_b0.7,1,11,VALID,LOSS,1.4640855121612548
