DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,LOSS,2.0455742721557617
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,TRAIN,ACC1,24.339999999999996
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,HYPER,LR,0.10009999677581337
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,VALID,LOSS,2.116015330314636
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,1,VALID,ACC1,25.2375
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,LOSS,1.739050213432312
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,TRAIN,ACC1,32.18
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,HYPER,LR,0.10009999586006245
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,VALID,LOSS,2.6602268352508545
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,2,VALID,ACC1,22.3375
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,LOSS,1.613312635231018
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,TRAIN,ACC1,38.6
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,HYPER,LR,0.10009999468421503
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,VALID,LOSS,1.7546663494110109
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,3,VALID,ACC1,33.25
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,LOSS,1.5272222925186156
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,TRAIN,ACC1,41.779999999999994
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,HYPER,LR,0.10009999317439709
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,VALID,LOSS,1.5012029724121094
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,4,VALID,ACC1,43.425000000000004
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,TRAIN,LOSS,1.4268710609436035
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,TRAIN,ACC1,45.76
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,HYPER,LR,0.10009999123575256
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,VALID,LOSS,1.4945714435577393
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,5,VALID,ACC1,45.325
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,TRAIN,LOSS,1.3685969631195067
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,TRAIN,ACC1,48.919999999999995
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,HYPER,LR,0.10009998874648379
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,VALID,LOSS,1.5132587728500366
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,6,VALID,ACC1,43.6875
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,TRAIN,LOSS,1.3205787830352784
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,TRAIN,ACC1,50.879999999999995
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,HYPER,LR,0.10009998555019961
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,VALID,LOSS,2.1960975122451782
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,7,VALID,ACC1,37.262499999999996
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,TRAIN,LOSS,1.288262693786621
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,TRAIN,ACC1,52.54
stl10,resnet34,taso_l0.1_e100_w0_m0.9_nt_a25_b0.7,1,8,HYPER,LR,0.10009998144608981
