DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,TRAIN,LOSS,2.213754064085762
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,TRAIN,ACC1,20.9549940620009
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,VALID,LOSS,2.1606402750314198
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,1,VALID,ACC1,24.596650276582665
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,TRAIN,LOSS,2.109682231716369
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,TRAIN,ACC1,25.140259633891638
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,VALID,LOSS,2.01687259416164
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,2,VALID,ACC1,28.79148740012293
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,TRAIN,LOSS,1.982859231177993
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,TRAIN,ACC1,29.05114869568779
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,VALID,LOSS,1.9296289220791178
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,3,VALID,ACC1,31.607252612169635
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,TRAIN,LOSS,1.8371158310416609
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,TRAIN,ACC1,33.353809192295614
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,VALID,LOSS,1.69311918557313
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,4,VALID,ACC1,39.37845728334358
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,5,TRAIN,LOSS,1.4978392903168873
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,5,TRAIN,ACC1,47.79748010429038
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,5,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,5,VALID,LOSS,1.51870096191425
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,5,VALID,ACC1,47.529963122311
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,6,TRAIN,LOSS,0.9935317655689996
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,6,TRAIN,ACC1,67.47887573883725
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,6,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,6,VALID,LOSS,0.8313875410112781
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,6,VALID,ACC1,72.68746158574062
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,7,TRAIN,LOSS,0.630283300467309
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,7,TRAIN,ACC1,80.21486001337756
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,7,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,7,VALID,LOSS,0.49321408865637917
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,7,VALID,ACC1,84.53441917639827
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,8,TRAIN,LOSS,0.47794834844142464
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,8,TRAIN,ACC1,85.14954202328788
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,8,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,8,VALID,LOSS,0.4594303103554227
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0.1,1,8,VALID,ACC1,85.4678856791641
