DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,TRAIN,LOSS,1.0456887111308812
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,TRAIN,ACC1,64.3542596611928
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,VALID,LOSS,0.4146156273301423
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,1,VALID,ACC1,87.03518746158574
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,TRAIN,LOSS,0.379705219275015
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,TRAIN,ACC1,88.35469647951732
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,VALID,LOSS,0.3185905098237358
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,2,VALID,ACC1,90.5078365089121
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,TRAIN,LOSS,0.30871211879424937
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,TRAIN,ACC1,90.68894440121763
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,VALID,LOSS,0.2693408002370548
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,3,VALID,ACC1,92.14044253226797
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,TRAIN,LOSS,0.27184368640756795
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,TRAIN,ACC1,91.91613088169048
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,VALID,LOSS,0.23787924572230118
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,4,VALID,ACC1,93.1661032575292
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,5,TRAIN,LOSS,0.24741443318294648
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,5,TRAIN,ACC1,92.69148340772895
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,5,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,5,VALID,LOSS,0.24100231340346193
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,5,VALID,ACC1,92.99323909035033
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,6,TRAIN,LOSS,0.22807924517199482
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,6,TRAIN,ACC1,93.37537709706922
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,6,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,6,VALID,LOSS,0.2203939560281036
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,6,VALID,ACC1,93.66164720344192
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,7,TRAIN,LOSS,0.21289043866368157
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,7,TRAIN,ACC1,93.77397381820167
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,7,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,7,VALID,LOSS,0.19531769656244788
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,7,VALID,ACC1,94.4721880762139
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,8,TRAIN,LOSS,0.19795905226269456
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,8,TRAIN,ACC1,94.34320269735316
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,8,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,8,VALID,LOSS,0.19314578757578416
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,8,VALID,ACC1,94.51828518746159
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,9,TRAIN,LOSS,0.1874510188122054
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,9,TRAIN,ACC1,94.68446701339121
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,9,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,9,VALID,LOSS,0.18526622115393393
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,9,VALID,ACC1,94.80639213275967
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,10,TRAIN,LOSS,0.1777952457024079
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,10,TRAIN,ACC1,94.90560629018387
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,10,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,10,VALID,LOSS,0.1854012545516466
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,10,VALID,ACC1,94.73340503995082
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,11,TRAIN,LOSS,0.1697866316008926
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,11,TRAIN,ACC1,95.22229957546719
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,11,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,11,VALID,LOSS,0.17693133558333837
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,11,VALID,ACC1,95.09065765212047
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,12,TRAIN,LOSS,0.16081354260889702
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,12,TRAIN,ACC1,95.44616896678816
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,12,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,12,VALID,LOSS,0.19380284932836406
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,12,VALID,ACC1,94.6220036877689
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,13,TRAIN,LOSS,0.15469759589444493
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,13,TRAIN,ACC1,95.61543606754303
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,13,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,13,VALID,LOSS,0.19151538689222963
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,13,VALID,ACC1,94.78334357713584
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,14,TRAIN,LOSS,0.14418329634142069
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,14,TRAIN,ACC1,95.91984383744898
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,14,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,14,VALID,LOSS,0.17408548704890583
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,14,VALID,ACC1,95.19821757836509
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,15,TRAIN,LOSS,0.14212281265681084
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,15,TRAIN,ACC1,95.98263647159997
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,15,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,15,VALID,LOSS,0.1689733493828158
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,15,VALID,ACC1,95.35955746773203
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,16,TRAIN,LOSS,0.1331556542298424
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,16,TRAIN,ACC1,96.22834677914739
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,16,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,16,VALID,LOSS,0.18921248426577322
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,16,VALID,ACC1,94.8678549477566
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,17,TRAIN,LOSS,0.12597292770246798
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,17,TRAIN,ACC1,96.49589800292122
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,17,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,17,VALID,LOSS,0.16490883270499526
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,17,VALID,ACC1,95.57467732022127
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,18,TRAIN,LOSS,0.12224002645992635
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,18,TRAIN,ACC1,96.52456420546842
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,18,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,18,VALID,LOSS,0.16602112905573976
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,18,VALID,ACC1,95.53242163491088
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,19,TRAIN,LOSS,0.1150480984592599
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,19,TRAIN,ACC1,96.73478302414786
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,19,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,19,VALID,LOSS,0.17548902931531002
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,19,VALID,ACC1,95.48632452366319
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,20,TRAIN,LOSS,0.11163429230984924
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,20,TRAIN,ACC1,96.9108754112235
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,20,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,20,VALID,LOSS,0.192473249817891
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,20,VALID,ACC1,94.92163491087892
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,21,TRAIN,LOSS,0.10361352178908124
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,21,TRAIN,ACC1,97.11153882905388
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,21,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,21,VALID,LOSS,0.19203723868734096
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,21,VALID,ACC1,95.12138905961893
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,22,TRAIN,LOSS,0.1003661026399441
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,22,TRAIN,ACC1,97.20572778028038
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,22,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,22,VALID,LOSS,0.18221413164634828
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,22,VALID,ACC1,95.29041180086047
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,23,TRAIN,LOSS,0.09699218709325447
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,23,TRAIN,ACC1,97.28353604433705
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,23,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,23,VALID,LOSS,0.17874195737410487
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,23,VALID,ACC1,95.45943454210203
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,24,TRAIN,LOSS,0.09130953625973473
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,24,TRAIN,ACC1,97.46918383226176
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,24,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,24,VALID,LOSS,0.18615656788561083
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,24,VALID,ACC1,95.34419176398279
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,25,TRAIN,LOSS,0.0877311731382509
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,25,TRAIN,ACC1,97.48692957669574
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,25,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,25,VALID,LOSS,0.18169259013448966
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,25,VALID,ACC1,95.42870313460357
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,26,TRAIN,LOSS,0.0832177996939534
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,26,TRAIN,ACC1,97.71898931160162
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,26,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,26,VALID,LOSS,0.1861625786918801
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,26,VALID,ACC1,95.46327596803934
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,27,TRAIN,LOSS,0.08027586625341747
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,27,TRAIN,ACC1,97.75584585773373
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,27,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,27,VALID,LOSS,0.17536837224217192
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,27,VALID,ACC1,95.6399815611555
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,28,TRAIN,LOSS,0.07387573284293547
svhn,resnet34,adagrad_l0.01_e100_w0.0001_d0_a0,1,28,TRAIN,ACC1,97.98927064990376
