DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,1,TRAIN,LOSS,2.2115416502906036
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,1,TRAIN,ACC1,20.99867589445378
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,1,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,1,VALID,LOSS,2.1560871182003853
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,1,VALID,ACC1,24.90780577750461
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,2,TRAIN,LOSS,2.1061352700109355
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,2,TRAIN,ACC1,25.27267018851441
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,2,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,2,VALID,LOSS,2.015814791153601
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,2,VALID,ACC1,28.97587584511371
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,3,TRAIN,LOSS,1.9867937145077976
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,3,TRAIN,ACC1,28.83956481974419
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,3,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,3,VALID,LOSS,1.9503541215475748
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,3,VALID,ACC1,31.13859864781807
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,4,TRAIN,LOSS,1.8275223506167904
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,4,TRAIN,ACC1,33.93532358682446
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,4,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,4,VALID,LOSS,1.7304722346919552
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,4,VALID,ACC1,38.625537799631225
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,5,TRAIN,LOSS,1.4980638265440505
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,5,TRAIN,ACC1,47.636403347120414
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,5,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,5,VALID,LOSS,1.5468006486458945
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,5,VALID,ACC1,45.528580208973565
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,6,TRAIN,LOSS,1.072392258985897
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,6,TRAIN,ACC1,64.58631939609867
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,6,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,6,VALID,LOSS,1.0439965908851225
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,6,VALID,ACC1,64.9277811923786
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0.1,1,7,TRAIN,LOSS,0.6912488154788805
