DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,1,TRAIN,LOSS,0.9789777823747638
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,1,TRAIN,ACC1,66.72536412902521
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,1,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,1,VALID,LOSS,0.4407666424116476
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,1,VALID,ACC1,85.73294406883835
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,2,TRAIN,LOSS,0.3814821232668163
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,2,TRAIN,ACC1,88.01206710621511
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,2,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,2,VALID,LOSS,0.3118728850432972
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,2,VALID,ACC1,90.4041180086048
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,3,TRAIN,LOSS,0.3091110843556232
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,3,TRAIN,ACC1,90.66027819867043
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,3,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,3,VALID,LOSS,0.2727237311274857
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,3,VALID,ACC1,91.73709280885065
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,4,TRAIN,LOSS,0.2740977371717748
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,4,TRAIN,ACC1,91.7495938954639
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,4,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,4,VALID,LOSS,0.26418585855497784
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,4,VALID,ACC1,92.12123540258143
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,5,TRAIN,LOSS,0.25074903031827317
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,5,TRAIN,ACC1,92.53450182235144
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,5,HYPER,LR,0.01
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,5,VALID,LOSS,0.23849844796091924
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,5,VALID,ACC1,92.88567916410571
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,6,TRAIN,LOSS,0.232164048635317
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,6,TRAIN,ACC1,93.1501426484841
svhn,resnet34,adagrad_l0.01_e100_w0_d0_a0,1,6,HYPER,LR,0.01
