DATA,MODEL,OPTIM,EXECUTION,EPOCH,SET,METRIC,VALUE
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,LOSS,1.133743942726911
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,1,TRAIN,ACC1,60.82695169062342
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,1,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,1,VALID,LOSS,0.49860619101043707
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,1,VALID,ACC1,84.14643515673018
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,LOSS,0.44848921247615775
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,2,TRAIN,ACC1,86.06003521847741
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,2,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,2,VALID,LOSS,0.4684195405292452
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,2,VALID,ACC1,85.7137369391518
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,LOSS,0.3657114357677655
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,3,TRAIN,ACC1,88.83792675102721
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,3,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,3,VALID,LOSS,0.31008691423570883
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,3,VALID,ACC1,90.82283343577136
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,LOSS,0.32188269530157165
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,4,TRAIN,ACC1,90.40228237574566
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,4,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,4,VALID,LOSS,0.2704937248396302
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,4,VALID,ACC1,92.03672403196066
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,LOSS,0.29647199036676947
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,5,TRAIN,ACC1,91.15715904282185
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,5,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,5,VALID,LOSS,0.2902939670387777
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,5,VALID,ACC1,91.70636140135218
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,LOSS,0.2785821129685937
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,6,TRAIN,ACC1,91.86835387744516
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,6,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,6,VALID,LOSS,0.2352721990070683
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,6,VALID,ACC1,93.2659803318992
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,LOSS,0.26398292707960314
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,7,TRAIN,ACC1,92.21507842253982
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,7,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,7,VALID,LOSS,0.2620385653524217
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,7,VALID,ACC1,92.390135218193
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,LOSS,0.2503812970893575
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,8,TRAIN,ACC1,92.66964249150251
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,8,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,8,VALID,LOSS,0.2201650621576696
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,8,VALID,ACC1,93.82682851874617
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,LOSS,0.2440856948114739
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,9,TRAIN,ACC1,92.85938545121968
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,9,HYPER,LR,0.001
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,9,VALID,LOSS,0.23018195556583182
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,9,VALID,ACC1,93.52719729563614
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,10,TRAIN,LOSS,0.23488769390271025
svhn,resnet34,adam_l0.001_e100_w0.0001_af_bf0.9_bs0.99,1,10,TRAIN,ACC1,93.19518953820113
